Abstract,Ancillary_Data,Bibliographic_Type,ContentType,Contract_Grant_Number,Credit,Date_Resource_Created,Description,Descriptors_Topical,Descriptors_Geographic,File,File_Size,Inst_Author,Inst_Publisher,Inst_Sponsor,Language,Mime_Type,New_Thesaurus_Terms,Notes,Personal_Author,Primary_Subject,Publication_Date_Freeform,Related_Doc_Links,Report_Number,Series_Title,Title,Title_Translated,Unique_ID,URI,USAID_Geography,USAID_Project_Number
"","Project title: Land, water and livelihoods restoration through holistic management","Final Evaluation Report","Documents","DFD-G-00-10-00084-00","","11/1/2013 12:00:00 AM","","","Zimbabwe|Southern Africa|Africa south of Sahara","http://pdf.usaid.gov/pdf_docs/PBAAA569.pdf","671 KB","040775 - Africa Centre for Holistic Management","","010865 - USAID. Bur. for Democracy, Conflict and Humanitarian Assistance. Ofc. of Foreign Disaster Assistance (OFDA)","English","application/pdf","","","Nott, Colin","Agricultural management","November 2013","","","","Land, water & livelihoods restoration through holistic management, agreement # DFD-G-00-10-00084-00 : final four year independent evaluation report (2010 through 2013)","","PB-AAA-569","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MzQ5ODc1","",""
"","Evaluated project title: Ghana water, sanitation and hygiene (GWASH)|Task order no. 01|Project title: Integrated water and coastal resources management indefinite quantity contract (IWCRM IQC)","Final Evaluation Report","Documents","AID-OAA-TO-10-00016|EPP-I-00-04-00020-00|AID-EPP-I-00-04-00020","","11/1/2013 12:00:00 AM","","","Ghana","http://pdf.usaid.gov/pdf_docs/PA00JX93.pdf","1,654 KB","009456 - Chemonics International Inc.","","008547 - USAID. Mission to Ghana|013900 - USAID. Bur. for Economic Growth, Education and Environment. Ofc. of Water","English","application/pdf","","","Buzzard, Shirley|Berg, Paul|et al.","Water supply and sanitation","1 November 2013","","","","Evaluation of the USAID Ghana water, sanitation, and hygiene program : quick response technical assistance task order under the USAID integrated water and coastal resources management indefinite quantity contract","","PA-00J-X93","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MzQ5ODkw","Ghana",""
"The USAID/Nicaragua Health Program (2008-2013) worked to achieve a more educated and healthy population with a greater ability to contribute to and share the benefits of a growing economy and strengthen the health sector of Nicaragua (e.g. public and private sectors, NGOs, universities and communities) by providing technical and financial assistance.&nbsp; The purpose of this evaluation was to: (1) determine the extent to which the objectives of the program were met and their contribution to the gender approach; (2) to evaluate the implementation of the mid-term (2007) evaluation recommendations; and (3) to identify the key factors that contributed to or prevented achieving the proposed results.&nbsp; In general, during the period studied, Nicaragua has made significant progress in family planning and maternal and child health.&nbsp; The Government of Nicaragua-led implementation of health policies, plans and strategies, coupled with the harmonization and coordination of international health cooperation (including USAID cooperation), has contributed to progress in the main demographic and maternal and child health indicators: (1) total fertility rate (TFR); (2) maternal mortality rate (MMR); (3) mortality rate (MR) in children under 5 years of age; (4) infant mortality rate (IMR); (5) neonatal mortality rate (NMR); and (6) chronic malnutrition (CM) in children under 5 years of age.&nbsp; In the case of HIV/AIDS, as expected, increasing the coverage of counseling and voluntary testing in key populations has increased the disease's prevalence and incidence, but has reduced its lethality and mortality.&nbsp; As this report shows, implementing the Family and Community Health Model (MOSAFC) has been fundamental to the country's health achievements, especially the role of the Family, Community and Life Committee (GFCV), which is the cornerstone of Ministry of Heath (MINSA) health promotion and prevention work.&nbsp; (Excerpt, modified)","'Period December 2008-January 2013'|Footer title: USAID/Nicaragua: health program performance for the 2008-2013 period|Project title: Global health tech bridge III (GH tech bridge 3)","Final Evaluation Report","Documents","AID-OAA-C-13-00032","","6/1/2014 12:00:00 AM","","","Nicaragua","http://pdf.usaid.gov/pdf_docs/PA00JXGB.pdf","10,155 KB","011492 - Development & Training Services, Inc. (dTS)","","010822 - USAID. Bur. for Global Health","English","application/pdf","","","","Maternal child health care","[June 2014]","","13-B3-006","","USAID/Nicaragua health program performance : contributing to improved maternal, reproductive and child health in Nicaragua","","PA-00J-XGB","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MzUwMDM3","Nicaragua",""
"","'Submitted .... on behalf of: .... CREDIVISION Peru, .... SEDA Tanzania, .... MED-Net Uganda'|Footer title: Matching grant evaluation","Final Evaluation Report","Documents","","","8/1/2001 12:00:00 AM","","","","http://pdf.usaid.gov/pdf_docs/PBAAA591.pdf","2,263 KB","","","007746 - USAID. Bur. for Humanitarian Response. Ofc. of Private and Voluntary Cooperation (PVC)","English","application/pdf","","","Waterfield, Susan|Painter, Judith","","August 2001","","","","Matching grant enterprise for health final evaluation","","PB-AAA-591","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MzUwMTcw","",""
"","Footer title: Capable partners programmatic objectives (CAP) : mid-term evaluation report : highlights and PMP findings","Special Evaluation","Documents","","","1/1/2006 12:00:00 AM","","","","http://pdf.usaid.gov/pdf_docs/PBAAA593.pdf","1,505 KB","000223 - Academy for Educational Development, Inc. (AED)","","011668 - USAID. Bur. for Democracy, Conflict and Humanitarian Assistance. Ofc. of Private Voluntary Cooperation-American Schools & Hospitals Abroad","English","application/pdf","","","","Private voluntary organizations","[2006]","","","","Capable partners program : mid-term evaluation report : highlights and performance management plan findings","","PB-AAA-593","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MzUwMTc0","",""
"PACT's Community&nbsp; REACH 2 in Swaziland was designed to facilitate the efficient flow of grant funds and to deliver targeted technical assistance and capacity building services to organizations contributing to the HIV/AIDS response.&nbsp; The overall goal of REACH is to reduce the impact of HIV/AIDS and improve health care for the people of Swaziland by developing a strengthened, coordinated civil society response to HIV/AIDS.&nbsp; The 8 evaluation questions to be addressed were: (1) to what extent has PACT made progress towards effectively building the organizational capacity of its sub-partners [and] what have been the factors behind observed progress or lack of progress towards organizational capacity building; (2) to what extent has PACT made progress towards effectively building the technical capacity of its sub-partners [and] is PACT's technical backstopping capacity adequate for the different technical areas in which sub-partners engage; (3) to what extent has sub-partner service delivery improved to date under PACT's support in terms of quality and targeting [and] how has PACT supported sub-partners to balance beneficiary coverage/targets with quality and dosage of services; (4) how does different coverage of sub-partners (national versus defined geographical areas) impact on the quality and dosage of services [and] how has PACT support helped sub-partners to engage and align with national strategies and systems, and to refer to government services; (5) what approaches for delivering sustainable community services for orphans and vulnerable children (OVC) are working well; (6) to what extent has PACT strengthened efforts to improve the OVC response beyond sub-partner service delivery through activities related to developing of standards and other national processes; (7) what progress has CANGO made towards developing its institutional capacity to become an Umbrella Grant Mechanism [and] how relevant is PACT's Institutional Capacity Building Plan (ISP), and what progress has [the] Coordinating Assembly of Non-governmental Organizations (CANGO) made on its ISP; (8) what are the strengths and weaknesses of PACT's approach to engage with civil society organizations that were recipients (or slated to be recipients) of Global Fund resources [and] how did PACT engage with National Emergency Response Council on HIV and AIDS (NERCHA) in order to strengthen civil society?&nbsp; The evaluators' overall conclusion was that each sampled organization underscored the importance of PACT's organizational capacity building to their present stability and all were interested in continuing support from PACT in their organizational development.&nbsp; Most would also like additional HIV/AIDS technical capacity building in the future, at least some refresher training.&nbsp; As the HIV epidemic continues to have a heavy impact in Swaziland, further strengthening of the overall response to the epidemic by civil society organizations is needed.&nbsp; (Excerpt, modified)","Header title: Midterm evaluation : Swaziland REACH project : final evaluation report|Evaluated project title: Rapid and effective action combating HIV & AIDS (REACH)","Special Evaluation","Documents","AID-674-TO-14-00001|AID-674-I-12-00002","","4/1/2014 12:00:00 AM","","HIV/AIDS|Disease prevention and control|Civil society|Local level|Disaster response|Epidemics|Contraceptive distribution|Access to services|Orphans and vulnerable children (OVC)|Community mobilization","Swaziland","http://pdf.usaid.gov/pdf_docs/PA00JXNH.pdf","2,155 KB","010506 - Khulisa Management Services (Pty) Ltd.","","008605 - USAID. Mission to South Africa","English","application/pdf","","","Grady, Mary O’|Sullivan, Pat|Nxumalo-Hleta, Sindiswe","HIV / AIDS","April 2014","","","","Mid-term evaluation of the rapid and effective action combating HIV & AIDS (REACH) project in Swaziland : building capacity of local civil society organizations working in the HIV and AIDS response","","PA-00J-XNH","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MzUwMTgy","Swaziland",""
"","","Special Evaluation","Documents","","","12/1/2000 12:00:00 AM","","","Guatemala","http://pdf.usaid.gov/pdf_docs/PBAAA596.pdf","2,261 KB","006570 - NRECA International, Ltd.","","007746 - USAID. Bur. for Humanitarian Response. Ofc. of Private and Voluntary Cooperation (PVC)","English","application/pdf","Hurricane Mitch","","Weihe, Ted","Electric power","December 2000","","","","NRECA/USDA 'electricity for progress' program project evaluation, Guatemala","","PB-AAA-596","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MzUwMjAw","",""
"","","Final Evaluation Report","Documents","","","11/1/2001 12:00:00 AM","","","Dominican Republic","http://pdf.usaid.gov/pdf_docs/PBAAA597.pdf","773 KB","006570 - NRECA International, Ltd.","","010926 - USAID. Bur. for Democracy, Conflict and Humanitarian Assistance. Ofc. of Private and Voluntary Cooperation (PVC)","English","application/pdf","","","Weihe, Ted","Electric power","November 2001","","","","Final program evaluation : rehabilitation of rural electric infrastructure damaged by Hurricane Georges : Dominican Republic","","PB-AAA-597","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MzUwMjAz","Dominican Republic",""
"While traditional dispute resolution (TDR) mechanisms have been remarkably resilient over the past 30 years in Afghanistan, decades of conflict have weakened TDR capabilities in many areas by disrupting the informal justice institutions through which elders and other locally legitimate actors adjudicate disputes.&nbsp; Lack of access to justice, whether it comes from formal or informal providers, is a source of instability that USAID Afghanistan is addressing through programs such as Rule of Law Stabilization - Informal Component (RLS-I).&nbsp; The RLS-I program was designed to achieve the following three objectives: (1) strengthen TDR mechanisms; (2) strengthen linkages between informal and formal justice sectors; and (3) develop approaches that successfully resolve long-term intractable disputes.&nbsp; This evaluation measured the achievements and challenges of RLS-I in six provinces of Afghanistan: Baghlan, Faryab, Kandahar, Nangarhar, Uruzgan and Wardak.&nbsp; A set of mixed quantitative and qualitative methods were used for data collection.&nbsp; The evaluation found strong performance on some RLS-I program objectives and weaker performance on others.&nbsp; Direct beneficiaries that participated in training activities for TDR actors -- a central facet of the RLS-I program -- noted general satisfaction with the training experience and reported gaining valuable knowledge of legal principles and procedural justice.&nbsp; These TDR actors also seemed to put their training to good use, a significant majority of the indirect beneficiary population reported that the quality of traditional justice had improved compared to before the RLSI program.&nbsp; Further, direct and the indirect beneficiary population alike reported a reduction in the incidence of cultural practices that are harmful to women such as baad (the exchange of daughters to settle disputes or debts).&nbsp; Confidence in the ability of TDR actors to resolve disputes generally increased, though this strengthening of TDR mechanisms was not accompanied by a perceived strengthening of the formal justice system or a greater rate of referrals of cases from traditional to formal justice providers.&nbsp; (Excerpt, modified)","Evaluated project title: Rule of law stabilization-informal component (RLS-I)","Final Evaluation Report","Documents","AID-306-O-14-00051","","5/1/2014 12:00:00 AM","","","Afghanistan","http://pdf.usaid.gov/pdf_docs/PA00JXPM.pdf","2,640 KB","040788 - Sayara Research","","008504 - USAID. Mission to Afghanistan","English","application/pdf","","","","Rule of law","May 2014","","","","Performance evaluation of the rule of law stabilization-informal component program","","PA-00J-XPM","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MzUwMjEz","",""
"The Trans-Sahara Counterterrorism Partnership (TSCTP) is the primary vehicle to coordinate U.S. counterterrorism policy in West Africa and the Maghreb regions of Africa.&nbsp; Initiated in 2005, the TSCTP grew to a multi-year, multi-agency effort to support diplomacy, development, and military activities to combat the spread of violent extremism in eleven countries: Algeria, Burkina Faso, Cameroon, Chad, Mali, Mauritania, Morocco, Niger, Nigeria, Tunisia and Senegal.&nbsp; The Department of State, USAID, and the Department of Defense are primarily responsible for diplomacy, development assistance, and military activities, respectively, with State as the program lead.&nbsp; The strategic objective of this program is to counter violent extremism by: (1) reducing sympathy and support for al-Qaida, AQIM, and other violent extremist organizations (VEOs) by strengthening resilience in communities at risk of recruitment and radicalization through improving livelihoods and social services for vulnerable, impoverished, and marginalized communities, in coordination with USG humanitarian and development efforts; (2) encouraging and assisting governments and communities to develop positive alternatives to violent extremism; and (3)&nbsp; improving relationships between those communities and government entities, especially security and justice sector institutions.&nbsp; This report contains recommendations on possible follow-on projects and how they can better align with countering violent extremism (CVE) messaging objectives; options for better integration with complementary longer term projects; global indicators or metrics across programs; and the use of a tracking system for monitoring future projects that is compatible with current web based portals.&nbsp; The evaluation analyses are organized by six operational and three programmatic findings, conclusions, and recommendations.&nbsp; (Excerpt, modified)","This evaluative study looks at Trans-Sahara Counterterrorism Partnership (TSCTP) projects in seven countries of the Sahel -- Burkina Faso, Chad, Mali, Mauritania, Niger, Nigeria and Senegal.  Its focus is on projects overseen and/or implemented by the U.S. Embassy Public Diplomacy (PD) Offices and how efforts are coordinated with the other agencies implementing the TSCTP, including other offices of the Department of State (DOS), United States Agency for International Development (USAID), and Department of Defense (DOD).  In keeping with the scope of work, the report contains recommendations on: (1) possible follow-on projects and how they can better align with countering violent extremism (CVE) messaging objectives; (2) options for better integration with complementary longer term projects; (3) global indicators or metrics across programs; and (4) the use of a tracking system for monitoring future projects that is compatible with current web based portals.  TSCTP is the primary vehicle to coordinate U.S. counterterrorism policy in West Africa and the Maghreb regions of Africa.  Initiated in 2005, the TSCTP grew to a multi-year, multi-agency effort to support diplomacy, development, and military activities to combat the spread of violent extremism in eleven countries: Algeria, Burkina Faso, Cameroon, Chad, Mali, Mauritania, Morocco, Niger, Nigeria, Tunisia and Senegal.  State, USAID, and DOD are primarily responsible for diplomacy, development assistance, and military activities, respectively, with State as the program lead.  The authors of this evaluative study visited Burkina Faso, Chad, Mali, Mauritania, Niger, Nigeria, and Senegal from November 2013 to February 2014 and met with U.S. Embassy officials and beneficiaries.   They conducted key informant interviews and focus groups to generate findings, conclusions and recommendations in keeping with their scope of work.","Final Evaluation Report","Documents","Contract No.: GS-10F-098AA|Order No.: AID-OAA-M-13-00016|Solicitation No.: RFQ No. GRO-13-798371","","1/1/2014 12:00:00 AM","","","Senegal|Nigeria|Niger|Mauritania|Mali|Chad|Burkina Faso|Sahel|West Africa|Africa","https://dec.usaid.gov/dec/GetDoc.axd?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MzUwMjI2&pID=NTYw&attchmnt=VHJ1ZQ==&uSesDM=False&rIdx=NDUyOTU2","","040668 - Dexis Consulting Group|011976 - QED Group, LLC","","000004 - USAID. Bur. for Africa","English","application/vnd.openxmlformats-officedocument.wordprocessingml.document","","","Jeffrey Swedberg (QED) and Steve Smith (Dexis), Mark D. Bardini (Dexis), and Soham Banerji (Dexis).","","April 15, 2014","","","","Trans-Sahara Counterterrorism Partnership (TSCTP) Evaluative Study","","PA-00J-XQ3","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MzUwMjI2","",""
