Abstract,Ancillary_Data,Bibliographic_Type,ContentType,Contract_Grant_Number,Credit,Date_Resource_Created,Description,Descriptors_Topical,Descriptors_Geographic,File,File_Size,Inst_Author,Inst_Publisher,Inst_Sponsor,Language,Mime_Type,New_Thesaurus_Terms,Notes,Personal_Author,Primary_Subject,Publication_Date_Freeform,Related_Doc_Links,Report_Number,Series_Title,Title,Title_Translated,Unique_ID,URI,USAID_Geography,USAID_Project_Number
"Evaluates project to increase the institutional capacity of the Centre for African Family Studies (CAFS) to provide training for family planning workers.  This evaluation focuses on two Francophone training courses - program management and communications.  Interim evaluation covers the period 1985-6/88, and is based in part on interviews with former trainees. Overall, both courses receive high ratings, especially for their relevance to trainee needs and for the valuable field practice opportunities they provide.  The communications course, however, has been criticized by former trainees with respect to lecture style, the theoretical content of certain sessions, and lack of time to fully assimilate knowledge and skills.  For the management course, it has been suggested that additional time be devoted to certain subject areas. The communications course has benefited from continuity in consultants (from Johns Hopkins and the Academy for Educational Development) and CAFS staff, as well as from the detailed guidance provided in the Project Paper.  CAFS now possesses the organizational structure, policies, procedures, and personnel needed to assume full responsibility for the course.  The management course, however -- developed by a different combination of consultants and with far less direction from the PP -- is not yet operating at the same level.  A co-trainer has not been hired, and the primary trainer needs more professional development.  A system needs assessment process has not been instituted; course material, such as case studies, has not been fully developed; and development of theoretical content has been problematic.  Development of the management course has also been hampered by deficiencies in public sector management training. CAFS has successfully developed the capacity to effectively provide for trainee transport, visas, lodging, meals, health coverage, field practice, and other support services, despite the considerable distance between the training site and CAFS headquarters.  Communication problems with USAID's and REDSO are relatively minor. Recommendations for the communications course center on lengthening the course by at least one week, improving the training process, and giving CAFS full responsibility.  For the management course, highest priority needs to be given to filling training staff vacancies and to furthering course design.  A cooperative agreement with one or more A.I.D.-supported institutions to accomplish this task should be considered. Recommendations are also made for expanding the Francophone program, providing in-country follow-ups to determine the future training and TA needs of CAFS graduates, and training graduates to replicate the CAFS programs.","Project title: Population technical assistance (POPTECH)","Special Evaluation","Documents","","","1/1/1989 12:00:00 AM","","Family planning occupations|Management training|Training centers|Training personnel|Family planning education","French speaking Africa|Africa","http://pdf.usaid.gov/pdf_docs/PDAAY648.pdf","887 KB","000673 - International Science and Technology Institute, Inc. (ISTI)|006243 - Dual & Associates, Inc.","","000191 - USAID. Bur. for Science and Technology. Ofc. of Population|000026 - USAID. Bur. for Africa. Regional Economic Development Services Ofc. (REDSO) East Africa","English","application/pdf","Interim evaluation","","Jewell, Norine C.","","4 Jan 1989","","Report no. 88-155-079","","Evaluation report CAFS family planning training support project for Francophone Africa","","PD-AAY-648","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA0ODAy","Africa Regional","6980662|9363024"
"In recent years A.I.D. has responded to the unpredictable, complex, and long-term nature of rural development by experimenting with alternative approaches.  This report draws general lessons from these experiments.  Discussion focuses on economically productive rather than social service activities and is restricted to factors within a donor agency's or project management's control, although methods of influencing external factors are also considered. The paper is organized according to four key project-related issues. (1) Project organization and management issues are examined, beginning with an assessment of various types of implementing organizations (i.e., government agencies, semiautonomous agencies, and private organizations).  General recommendations are presented for effectively engaging beneficiaries in management decisions, a key aspect of successful project performance and sustainability.  Management strategies are examined for addressing internal and external problems, enhancing indigenous institutional capacity, and improving financial viability.  (2) Discussed next are the two main technological issues affecting rural development projects:  (a) the acquisition and adoption of appropriate agronomic technical packages, and (b) the choice of appropriate rural infrastructure technologies.  (3) The paper then evaluates recently developed project design techniques, focusing on the factors of flexibility, size, lifespan, complexity, and integration. (4) A final section examines project monitoring and evaluation processes, which have also been revised recently to suit the realities of rural development. The report concludes by emphasizing that rural development strategies are rarely universally applicable - the key to success is the appropriateness of project approach to local contextual conditions.","Paper prepared for seminar|Seminar on Rural Development : Lessons from Experience (18-19 Feb|1988 : Paris, FR)","Special Evaluation","Documents","","","1/1/1989 12:00:00 AM","","Rural development|Development project design|Development project management|Development project evaluation|Development project implementation|Project sustainability|Institution building|Community participation|Agricultural technology","","http://pdf.usaid.gov/pdf_docs/PNAAX213.pdf","86 KB","003433 - USAID. Bur. for Program and Policy Coordination. Center for Development Information and Evaluation (CDIE)","","","English","application/pdf","CDIE series|PPCeval","","Binnendijk, Annette","Rural areas / rural development","Jan 1989","","","AID evaluation special study, no. 60","AID's experience with rural development : project-specific factors affecting performance","","PN-AAX-213","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA0OTAz","",""
"Between 1977 and 1987, A.I.D. funded 43 bilateral, research, and community projects in agroforestry, projects whose primary objective was to encourage farmers to grow trees using species and techniques (e.g., contour hedgerows, intercropping) that can protect and sustain topsoil, increase crop or livestock production, and, in most cases, provide wood and other products to augment income.  This study reviews A.I.D.'s agroforestry experience and identifies major issues to be addressed in designing and implementing future projects. The issues are discussed under six categories.  (1) The selection of tree species and techniques must be based on technical, economic, and sociocultural criteria.  Trees must be adaptable to agroclimatic and farming conditions, and the project must take into consideration the purpose of the planting (e.g., whether trees are grown for subsistence needs, as a cash crop, or both), as well as farmers' risks, benefits, costs, and customary beliefs and preferences.  (2) Tree growing must work within - or seek to change - government policies and traditional land tenure arrangements.  (3) Key institutional issues include the capacity of line ministries to meet technical and extension requirements, and the support that can be provided by the private sector.  A major lesson is that project designers and implementing agencies must train and supervise farmers and extensionists in site selection, planting techniques, spacing requirements, care of young trees, pruning methods and schedules, and the harvesting and use of tree products.  Close coordination among all parties is urged, as is encouragement of farmer participation.  (4) Some evidence suggests that traditional incentives such as free seeds may not be effective.  Recent projects have experimented with alternative incentives, e.g., helping to secure land or tree tenure or funding small community projects.  (5) Information gaps concerning past forestry projects underscore the need to fully fund data collection, monitoring, and evaluation.  (6) Crosscutting issues include the possibility of implementing projects in phases over 7 years or more; the importance of broad, programmatic approaches to improving and sustaining land use; and the importance of donor coordination.  Descriptions of A.I.D. agroforestry projects and 13 pages of references are appended.","","Special Evaluation","Documents","","","1/1/1989 12:00:00 AM","","Agroforestry|Trees|Agricultural technology|Development project design|Development project implementation","","http://pdf.usaid.gov/pdf_docs/PNAAX212.pdf","148 KB","003433 - USAID. Bur. for Program and Policy Coordination. Center for Development Information and Evaluation (CDIE)","","","English","application/pdf","CDIE series|PPCeval","","Chew, Siew Tuan","Forestry","Jan 1989","","","AID evaluation special study, no. 59","Agroforestry projects for small farmers : a project manager's reference","","PN-AAX-212","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA1MDMy","",""
"Interim evaluation of a project to establish an agricultural research management system, support research and extension activities, and promote improved crop and livestock technologies in The Gambia. External evaluation covers the period 11/85-1/89. Overall, the project has significantly increased the quality, quantity, and relevance of agricultural research in The Gambia. The review process for selecting and designing research projects has been strengthened.  A substantial number of research personnel have received short-term training, either in The Gambia or abroad, and a number are currently in long-term training overseas.  In addition, computer training and access have improved the timeliness, quality, and reporting of analyses.  A program budgeting system has been installed in the research service and is helping to improve project design and financial management.  The project has also initiated pilot promotional activities for rice and cowpeas in collaboration with the extension sevices and nongovernmental organizations; Save the Children has received a grant to promote improved production/varieties of rice and millet. On the negative side, many government personnel and agricultural development workers still feel that the research service's activities are largely irrelevant to current development needs, and in particular to the constraints facing Gambian farmers. Partly for this reason, and partly because of the conditions of service, researcher morale is low and a number of qualified personnel have resigned.  It is recommended that major farming constraints be identified as part of the policy/priorities statement to be prepared by the Directorate of Agricultural Research and that programs be developed to resolve them. Improvements also need to be made in research implementation, financial management, and research linkages with extension, PVO's, and other development projects.","Companion evaluation summary: PD-ABA-249","Special Evaluation","Documents","","","1/1/1989 12:00:00 AM","","Agricultural research|On farm research|Research management","Gambia","http://pdf.usaid.gov/pdf_docs/PDAAY862.pdf","3,951 KB","006727 - Development Alternatives, Inc. (DAI)","","008545 - USAID. Mission to The Gambia","English","application/pdf","Interim evaluation","","","Agricultural research","Jan 1989","","","","Evaluation of Gambian agricultural research and diversification","","PD-AAY-862","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA1NDQ4","Gambia","6350219"
"PACR of an OPG to CARE (3/83-6/88) to promote tree planting and other conservation practices to counteract deforestation and general environmental degradation in a refugee area in eastern Sudan. Despite design flaws, the project had several accomplishments. Rural Sudanese and refugees have been employed to raise seedlings in the project's two nurseries and to plant them in the more than 8,000 feddans of plantations established by the project. The nurseries have also produced thousands of utilitarian, amenity, and fruit trees annually for distribution to local individuals and organizations. Seedling mortality remains a problem at some of the plantations, however, and even if the plantations are fully stocked, yields will probably not be great enough to meet local needs for fuel, fodder, etc. Appropriate agroforestry techniques have yet to be identified; some project innovations (e.g., changes in potting mix) were not based on valid analysis and thus cannot be assessed.  On the other hand, certain experimental trials were successful:  rainwater management and water harvesting techniques developed by the project have significantly lowered tree mortality on the plantations and can be used wherever similar agro-climatic conditions exist. An agroforestry extension program is working throughout the project area on a wide variety of village and school nursery programs, environmental education, and agroforestry demonstration plots.  The extension unit has developed effective procedures and materials to promote tree planting, but suffers from the project's lack of proven technical interventions. Several additional problems were caused by project design. Project headquarters in Gedaref were so remote from activity sites that some senior staff spent the equivalent of 100 days per year driving between the sites.  The design also failed to address the intended purpose of providing relief from immediate unemployment problems in the refugee settlements and nearby villages.  Finally, the project failed to undertake the required logframe exercise, causing difficulties in monitoring. Overall, the project is an excellent example of inter-agency coordination.  It is highly regarded by the Forestry Department (FD), which has benefited from management and technical training and the provision of office buildings, permanent nurseries, vehicles, and equipment.  The importance of infrastructure provided to host agencies as part of institution building is sometimes undervalued.  In harsh locales such as rural Sudan, project budgets should provide for vehicle and equipment replacement during the project's final months to ensure the host agency of receipt of worthy assets.  In this case, institutional inputs to the FD will be further refined during the follow-on project.","","Final Evaluation Report","Documents","","","1/1/1989 12:00:00 AM","","Reforestation|Refugee relief|Trees|Seedlings|Nurseries","Sudan","http://pdf.usaid.gov/pdf_docs/PDBBP404.pdf","378 KB","008607 - USAID. Mission to Sudan","","","English","application/pdf","Final evaluation","","","","Jan 1989","","","","Eastern refugee reforestation project (650-0064), eastern region : project completion report","","PD-BBP-404","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA1NDUw","Sudan","6500064"
"PACR of a project (10/82-8/88) to strengthen the capacity of local governments in Thailand to plan, design, and implement rural development projects. The first 5 project years focused on conducting studies of rural development processes in 97 tambons to prepare rural development manuals for replication nationwide.  Work progressed in 3 stages. First, the project developed recommendations regarding the Government of Thailand's (GOT's) Rural Employment Generation Program (REGP), which resulted in a series of improvements in subsequent policies and guidelines.  The project then prepared and presented to the GOT 60-70 academic papers aimed at promoting decentralized development management and capacity building concepts.  Finally, discrete development manuals were designed, using findings from all studies. The last 2 project years were given to testing project-developed manuals on provincial development planning, the tambon financial system, human resources development for rural development, local-level rural development monitoring systems, village development funds, and local maintenance arrangements.  Except for the village development funds model, the tests demonstrated that the manuals could be modified for nationwide replication. The most useful manuals were those on planning, resource management, and maintenance.  While these models were being tested, REGP budget and A.I.D. loan funds were used to finance small-scale, tambon-level subprojects (SP's) using local natural resources; SP areas included water resource development, access road and bridge construction, economic promotion, and social needs.  Over the entire life of the project, some 3,060 such SP's were implemented. Approximately 140 tambons and 140,000 villagers benefited directly from these SP's and a large number of GOT officials at the provincial and district levels participated and learned about rural development processes.  The project provided training for approximately 5,000 people at the local level in the fields of planning, engineering, and project implementation.  In addition, 18 GOT officials participated in U.S. observation visits and resource management training. Several lessons were learned.  (1) The SP's proved to be both a training ground in natural resource management and a source of additional income for villagers.  Part of this revenue is returned to the tambon council or village development fund for use in other public projects.  (2) The most successful SP's are in tambons with strong local leaders, especially District Officers and their Deputies.  (3) The role of the province has been limited to reviewing and approving SP proposals prepared at the tambon and district levels.  (4) The Department of Local Administration now has the experience and the authority to institutionalize the most successful elements of the project.","","Final Evaluation Report","Documents","","","1/1/1989 12:00:00 AM","","Public administration|Rural development|Decentralization|Development planning|Development research|Development projects|Community participation|Local level|Districts","Thailand","http://pdf.usaid.gov/pdf_docs/PDAAY868.pdf","247 KB","008613 - USAID. Mission to Thailand","","","English","application/pdf","Final evaluation","","","","19 Jan 1989","","","","Decentralized development management project (493-0315) : project completion report","","PD-AAY-868","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA1NDU1","Thailand","4930315"
"Results are presented of a review of 287 evaluation reports submitted by A.I.D. Missions and offices during FY's 1987-88. The review addressed two main areas:  compliance with the A.I.D. Handbook, and the quality of the evaluations.  The main findings were as follows: (1) 89% of the reports evaluated single projects, 10% evaluated more than one project, and 1% evaluated nonproject assistance; (2) on certain key measures (e.g., completeness, methodology), evaluations prepared for the Asia/Near East and Latin America/Caribbean Bureaus rated best; (3) 53% were conducted solely by contractors, while A.I.D. and host country personnel participated in 29% and 27% of the evaluations, respectively; (4) 69% were interim evaluations; (5) in terms of primary focus, 64% addressed outputs, 28% addressed purpose, and 2% addressed goals; (6) complete data were available on outputs in 51% of the evaluations, on purposes in 19%, and on goals in 4%; (7) possibly because of the short time taken to conduct the evaluations (on average about a month), data collection relied heavily on key informant interviews and to a lesser extent on site visits, with little or no use made of focus group or community interviews, formal or informal surveys, or direct observation; (8) in regard to analytical methods, 50% analyzed trend data, 23% analyzed cost-effectiveness in detail, and 11% used comparison or control groups; (9) 60% contained information on financial monitoring and 79% on program monitoring, with 66% of the projects evaluated given high marks for financial monitoring and 54% given high marks for program monitoring; (10) 59% of the reports called for improvements in the project monitoring, evaluation, or management information systems; (11) two-thirds of the reports included the required ES or PES containing a section for listing actions to be taken on the basis of the evaluation; (12) on average, less than half of the recommendations could be acted upon by the A.I.D. Mission or Bureau which sponsored the evaluation, the rest being directed to those actually implementing the project; (13) 18% of the evaluations noted that recommendations from prior evaluations had not been implemented; (14) in terms of special concerns, detailed discussion was given to WID issues in 9% of the evaluations, to environmental issues in 8%, and to sustainability issues in 36%; (15) cost data, which were provided for 45% of the evaluations, indicate a mean cost per evaluation of $37,450, with 17% costing less than $10,000 and 20% costing over $60,000.","Later ed.: PN-ABC-321","Special Evaluation","Documents","","","3/1/1989 12:00:00 AM","","Development project evaluation|USAID|Evaluation methodology","","http://pdf.usaid.gov/pdf_docs/PDAAY877.pdf","3,773 KB","000436 - Development Associates, Inc.","","000156 - USAID. Bur. for Program and Policy Coordination. Ofc. of Evaluation","English","application/pdf","CDIE|PPCeval","","Hopstock, Paul J.|Kellum, Allan C.|Young, Malcolm B.","","Mar 1989","","","","Synthesis of AID evaluation reports : FY 1987 to FY 1988","","PD-AAY-877","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA1NDY1","Program and Policy Coordination","9300085"
"Evaluates Food for Peace Title II program in Haiti implemented by CARE, Catholic Relief Service (CRS), and the Adventist Development and Relief Agency (ADRA).  Each sponsor works through a number of delivery mechanisms, including School Feeding (SF), Mother Child Health (MCH), and Food For Work (FFW).  External evaluation covers FY88 activities. The program provided food to approximately 500,000 children, or roughly 20% of all Haitian children, for at least 9 months of the year. It is likely that this supplemental food serves as a ""safety net"" for children and probably their families - a small constant in a rapidly deteriorating environment.  While this achievement is significant in terms of child survival and welfare, a broader development impact cannot objectively be claimed.  Neither USAID/H nor any of the sponsors is operating with a strategic plan; instead, efforts are devoted simply to moving food.  This quantitative focus is due to organizational mandates, Title II planning processes, and current sociopolitical conditions. Both CARE and CRS are now engaged in structured internal reviews to improve planning and targeting, while ADRA must strengthen program operations prior to undertaking a meaningful strategic planning exercise. The sponsors' expenditure and cost patterns mirror the strategic disarray of the P.L. 480 program.  Budgets are largely logistical, and there are no real cost linkages between the delivery of food and the establishment of developmental projects. Due to lack of cost-centered accounting and historical data, no trend analysis could be undertaken. CARE is the most cost-efficient sponsor, although margins are very slim. Major deviations in delivery mechanisms are not recommended, but existing mechanisms should be refocused towards development aims. All sponsors need to improve monitoring systems, not only for efficiency, but in order to judge effectiveness as they move towards new foci.","","Special Evaluation","Documents","","","1/1/1989 12:00:00 AM","","Food for Peace Title II|Maternal child feeding programs|School feeding programs|Strategic planning","Haiti","http://pdf.usaid.gov/pdf_docs/PDAAY919.pdf","5,292 KB","000241 - Louis Berger International, Inc. (LBII)","","006215 - USAID. Bur. for Food for Peace and Voluntary Assistance. Ofc. of Program Policy and Management|000086 - USAID. Bur. for Food for Peace and Voluntary Assistance. Ofc. of Food for Peace (FFP)","English","application/pdf","","","","","Jan 1989","","","","Assessment of PL-480 Title II food donation program in Haiti","","PD-AAY-919","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA1NjQ2","Haiti","521PL02|9380703"
"Interim evaluation of Umoja II - a housing guaranty in Kenya to strengthen the Nairobi City Commission's (NCC) administration of housing projects and to fund construction of low-cost condominiums.  External evaluation covers the period 1979-1/89. The project has succeeded in reaching low-income beneficiaries, although the objective of owner-occupancy has not been met. Beneficiaries are increasingly subletting the units to tenants of a slightly higher income group; currently two-thirds of the houses are so occupied.  This tendency is seen as unavoidable, since housing investment is viewed in Nairobi as a means of maximizing income.  The project's innovative concept of allowing several households to share a plot on a condominium basis has had a tremendous effect on increasing densities in regard to the number of housing units and the number of persons per ha, while the infrastuctural and building standards are a major breakthrough in Nairobi's formal low-income housing sector.  In general, the housing projects are well appreciated for their accompanying community facilities (i.e., schools, nurseries, markets, and clinics) and the security provided by the courtyard design. Criticism has focused on unclean drains, small room size, and the location of the cooking area and shower rooms. The NCC's complex, cumbersome administrative/political structure led to selection of an unqualified contractor and delays in standards and design approvals.  Furthermore, due to internal NCC coordination flaws, financial and legal problems were left unattended until a crisis developed.  Overall project costs have soared (from KSh. 212 million to KSh. 410 million) for several reasons:  (1) severe implementation delays, (2) rising construction costs, (3) faulty construction work, and (4) changes in contractors.  As a result, A.I.D. funds are insufficient to finalize the project and NCC does not have the resources to make up the deficit.  Thus, the NCC may be able to construct only 7 of the 8 planned project zones.  Coupled with the high level of defaults on monthly payments, the financial shortfall has impeded plans to set up a housing development fund.  All parties agreed that a clearly defined technical and financial monitoring system sponsored by A.I.D. would have prevented some of these problems. A total of 12 recommendations are made regarding the completion and replicability of Umoja II and future USAID/K support to NCC.","Delivery order no. 25","Special Evaluation","Documents","PDC-0000-I-00-6187-00","","1/1/1989 12:00:00 AM","","Low cost housing|Urban development|Housing administration|Housing investment guaranty","Kenya","http://pdf.usaid.gov/pdf_docs/PDAAY960.pdf","1,969 KB","006381 - Abt Associates, Inc.","","003241 - USAID. Bur. for Africa. Regional Housing and Urban Development Ofc.","English","application/pdf","Interim evaluation","","Hoek-Smit, Marja C.","","Jan 1989","","","","Evaluation of UMOJA II : an experimental housing project in Nairobi","","PD-AAY-960","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA1NzY3","Kenya","615HG05"
"Interim evaluation of a project to increase the use of contraceptives in Pakistan through a social marketing campaign and increased distribution.  External evaluation covers the period 5/85-11/88. The project has made excellent progress and appears to have the potential to be one of the most effective social marketing projects in the world.  After only 2 years, sales of the Sathi condom have exceeded goals and are second only to the India and Bangladesh programs - both of which have been in operation for over 10 years.  Currently, the condoms are distributed to 161 towns, while expansion to 150 smaller towns is anticipated.  They have achieved a very high level of marketplace visibility, due to unparalled product presentation, which utilizes a consistent message and high quality graphics.  To date, marketing has been channeled primarily through distributors and retailers, although TV and radio advertising is now possible. On the negative side, very little is known about whether the program is reaching the target audience - low-income urban and semi-urban populations - or its impact on consumer attitudes and usage.  Although a number of research projects have been completed, their primary focus has been on distribution issues rather than consumer identification and attitudes.  No overall plan for research has been developed. The organizational structure is well-suited to sustain project activities.  A local firm, W. Woodward Pakistan Ltd., is given considerable discretion in conducting ongoing management, and its links with the Population Welfare Division are handled effectively by Pakistan Consultancy Services.  Project-provided TA has also been an important asset.  However, roles and operating procedures are not entirely clear, causing erosion of the cooperative spirit that has contributed substantially to project success.  A major problem has been disagreement over the sort of sales data to be yielded from the management information system.  This problem was resolved during the evaluation. It is recommended that the project be extended for at least 4 years. Emphasis should be placed on the following goals:  (1) expansion of the condom distribution network into another 150 towns and investigation of ways to develop demand in rural areas; (2) more extensive research regarding consumer attitudes and usage in order to refine advertising strategies and promotional activities; and (3) addition of an oral contraceptive component.","PIO/T no. 391-0484-3-40475|Project title: Population technical assistance (POPTECH)","Special Evaluation","Documents","DPE-3024-Z-00-8078-00","","2/1/1989 12:00:00 AM","","Condoms|Contraceptive distribution|Family planning promotion programs|Social marketing","Pakistan","http://pdf.usaid.gov/pdf_docs/PDAAY963.pdf","4,356 KB","006243 - Dual & Associates, Inc.|000673 - International Science and Technology Institute, Inc. (ISTI)","","008588 - USAID. Mission to Pakistan|000191 - USAID. Bur. for Science and Technology. Ofc. of Population","English","application/pdf","Interim evaluation","","Allen, Carl M.|Friedman, Matthew|et al.","","23 Feb 1989","","Report no. 88-003-080","","Evaluation of the Pakistan social marketing of contraceptives project (391-0484)","","PD-AAY-963","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA1Nzcw","Pakistan","3910484|9363024"
