Abstract,Ancillary_Data,Bibliographic_Type,ContentType,Contract_Grant_Number,Credit,Date_Resource_Created,Description,Descriptors_Topical,Descriptors_Geographic,File,File_Size,Inst_Author,Inst_Publisher,Inst_Sponsor,Language,Mime_Type,New_Thesaurus_Terms,Notes,Personal_Author,Primary_Subject,Publication_Date_Freeform,Related_Doc_Links,Report_Number,Series_Title,Title,Title_Translated,Unique_ID,URI,USAID_Geography,USAID_Project_Number
"","Evaluation period: Sep 1966-Jun 1973","Final Evaluation Report","Documents","AID/csd-1504","","7/1/1973 12:00:00 AM","","Electrification|Rural areas|Cooperatives|Limited data plus","India","http://pdf.usaid.gov/pdf_docs/PDAAL072.pdf","1,138 KB","008557 - USAID. Mission to India","","","English","application/pdf","Final EOPS","","","Cooperatives","Jul 1973","","","","Rural electric cooperatives; completion report","","PD-AAL-072","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTU0MTE3","India","3860342"
"In the middle 1960's the Government of Guyana embarked on a development program. Selected for early attention was the rice industry -- farm to market. Feasibility studies confirmed the opportunity for successful development in the rice industry. As a result of those findings, the Government of Guyana and USAID negotiated AID Loan in an amount of U.S.$12,900,000 to be supplemented by the GOG in an amount of Guyana dollars equivalent to U.S. $4,600,000. A component of that loan agreement was U.S. $550,000 supplemented by Guyana dollars furnished by the GOG in an amount equal to U.S. $144,000 for technical and managerial assistance. The principle infrastructure to be added by implementation of the loan agreement is a Rice Research Center, six Dryer-Storage Centers, and transportation equipment for bulk paddy and milled rice. The rice research center construction has been started. It is currently scheduled to be completed in December 1974. The six Dryer-Storage Centers, having a capacity to handle and store about 25% of the projected annual crop, and 50% of the projected crop in their areas are under construction. Two are expected to be completed for beneficial occupancy in time for the fall crop 1973; two others may be completed by that time. All six should be beneficially occupied by the fall crop 1974, or before.","","Special Evaluation","Documents","AID/csd-1588","","1/1/1973 12:00:00 AM","","Food processing facilities|Research facilities|Agricultural storage facilities|Management operations|Development project planning|Rice|Technical assistance","Guyana","http://pdf.usaid.gov/pdf_docs/PNAAA515.pdf","1,039 KB","001375 - Kansas State University","","","English","application/pdf","","","Ackels, Alden A.","Food processing","1973","","","Food grain drying, storage, handling, and transportation report,|no. 38","Technical and managerial assistance recommendations : rice modernization project, Guyana","","PN-AAA-515","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTU1Mjg4","Guyana","5040044"
"AN EVALUATION OF THE FIRST FOUR YEARS OF EL SALVADOR'S EDUCATIONAL REFORM AND INSTRUCTIONAL TELEVISION (ITV) SYSTEM. THE THREE OBJECTIVES OF THE EVALUATION WERE: 1) TO STUDY THE EFFECTS OF ITV ON EL SALVADOR'S SCHOOL SYSTEM; 2) MAKE GENERAL CONCLUSIONS FROM THE SYSTEM THAT MIGHT BE HELPFUL TO OTHER COUNTRIES INTERESTED IN INSTRUCTIONAL TECHNOLOGY; AND 3) TO MAKE A CONTRIBUTION THROUGH THIS EVALUATION TO THE DEVELOPMENT OF THE ITV SYSTEM ITSELF. DATA FOR THE FOUR-YEAR STUDY WILL BE DRAWN FROM THE GENERAL SETTING; STUDENT LEARNING; ATTITUDES, AND ASPIRATIONS; COMMUNITY AND CLASSROOM INFLUENCES ON STUDENTS; TEACHER ATTITUDES AND BEHAVIOR; EFFICIENCY AND COSTS OF THE NEW SYSTEM; ADMINISTRATIVE HISTORY; AND PREDICTIONS FOR THE FUTURE. AMONG THE CONCLUSIONS OF THIS STUDY WERE THAT: 1) BECAUSE OF ITV, STUDENTS LEARNED MORE EVEN WITH GREAT ENROLLMENT EXPANSION; 2) ALTHOUGH EXPENSIVE, ITV WAS LESS SO THAN TRADITIONAL METHODS WOULD HAVE BEEN WITH THIS INCREASE; 3) ITV MAGNIFIED THE NEED FOR CHANGE IN NUMEROUS OTHER EDUCATIONAL AREAS; AND 4) ITV HAS A BRIGHT FUTURE IN EL SALVADOR.","","Special Evaluation","Documents","AID/CSD-2175","","1/1/1973 12:00:00 AM","","Educational reform|Educational materials|Educational television|Development project evaluation","El Salvador","http://pdf.usaid.gov/pdf_docs/PNAAB412.pdf","9,234 KB","000223 - Academy for Educational Development, Inc. (AED)","","","English","application/pdf","","","Hornik, Robert C.|Ingle, Henry T.|et al.","Educational development","1973","","Research report no. 14","Project report series, no. 20","Television and educational reform in El Salvador, final report","","PN-AAB-412","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTU2MTQ5","El Salvador",""
"","","Special Evaluation","Documents","AID/CSD-3203","","1/1/1973 12:00:00 AM","","Educational extension programs|Surveys","Uganda","","","001475 - West Virginia University","","","English","","","","Nelson, Ralph E.|Kazungu, David K.","Agricultural education","1973","","Report no. IP-54","","Evaluation of the USAID extension saturation project in Uganda","","PN-AAD-085","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTU3Nzkw","Uganda","6170012"
"THE NATIONAL ACADEMY OF SCIENCES (NAS) APPLIES SCIENTIFIC AND TECHNOLOGICAL KNOWLEDGE TO PROBLEMS ASSOCIATED WITH UNDERDEVELOPED COUNTRIES. DURING A TEN-YEAR PERIOD ENDING IN 1971, A CONCENTRATED ATTEMPT WAS MADE BY THE NAS TO DEVELOP PROGRAMS IN AFRICA, ASIA, AND LATIN AMERICA. THESE PROGRAMS ARE REVIEWED AND ANALYZED IN THIS REPORT; THE MAJOR FOCUS IS ON ACTIVITIES RESULTING FROM WORKSHOPS THAT BEGAN IN 1964. REGIONAL ACTIVITIES WERE MULTINATIONAL EFFORTS THAT INCLUDED SOLVING COMMON PROBLEMS OF AGRICULTURE, HEALTH, AND HIGHER EDUCATION IN THE SCIENCES. BILATERAL PROGRAMS FOCUSED ON NATIONAL PRIORITIES, E.G., OCEAN RESOURCES IN INDONESIA. THE NAS WORKSHOPS BROUGHT TOGETHER PEOPLE OF VARIOUS REPRESENTATIONS TO MATCH AND COMPLEMENT EXPERTISE; COLLABORATION CENTERED ON FOUR MAIN TOPICS: MANPOWER AND EDUCATION, AGRICULTURE, NATURAL RESOURCES, AND INDUSTRIAL R & D AND MANAGEMENT. MOST WORKSHOPS EMPHASIZED THE PRIORITIES OF RESEARCH. INCLUDED IN THE REPORT ARE ANSWERS TO QUESTIONS GIVEN EACH COUNTRY ON THE EFFECTIVENESS OF THESE WORKSHOPS. THE PROGRAMS THEMSELVES ARE EVALUATED ACCORDING TO INSTITUTIONAL RELATIONSHIPS (WHERE THE NAS SEES ITS USEFULNESS IN ITS CATALYTIC ROLE) AND SHORT- AND LONG-TERM DEVELOPMENTS. FACTORS CONTRIBUTING TO THE ACCOMPLISHMENTS OF THE BILATERAL PROGRAMS ARE DETAILED. THE REPORT DESCRIBES THESE PROGRAMS (1964-1971), DESCRIBES SPECIAL PROJECTS FROM 1968-1972, AND LISTS STAFF AND INTERNATIONAL PARTICIPANTS FOR EACH PROGRAM.","'T.O. #1' [task order no. 1]","Special Evaluation","Documents","AID/cds-2584","","1/1/1973 12:00:00 AM","","Scientific cooperation|Workshops|Development programs|Technical assistance","","http://pdf.usaid.gov/pdf_docs/PNAAD107.pdf","9,497 KB","000864 - National Research Council. Commission on International Relations. Board on Science and Technology for International Development","","","English","application/pdf","","","Brown, Harrison|Tellez, Theresa","Development assistance","1973","","","","National Academy of Sciences : international development programs of the office to the foreign secretary -- summary and analysis of activities, 1961-1971","","PN-AAD-107","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTU3ODEx","",""
"","","Special Evaluation","Documents","AID/ASIA-597","","1/1/1973 12:00:00 AM","","Irrigation|Water management|Technical training|Seminars","Asia|Middle East","http://pdf.usaid.gov/pdf_docs/PNAAD434.pdf","7,288 KB","001469 - Utah State University","","","English","application/pdf","","","Peterson, Dean F.","Irrigated farming and water management","1973","","","","Irrigation practices seminars 1956-1970, an evaluation","","PN-AAD-434","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTU4MTE2","",""
"","","Special Evaluation","Documents","","","1/1/1973 12:00:00 AM","","Marketing|Rice|Agricultural equipment|Engineering research|Appropriate technology|Tropical zone","Korea R|Thailand|Vietnam","","","000197 - USAID. Bur. for Technical Assistance. Ofc. of Agriculture","","","English","","","","Davis, D. E.|Harper, Judson M.","Agricultural technology","1973","","","","Utilization and marketing review (of) equipment development research for tropical rice cultivation (at) IRRI","","PN-AAD-438","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTU4MTIw","",""
"","","Special Evaluation","Documents","","","1/1/1973 12:00:00 AM","","USAID|Grants|Institution building|Financial resources|Universities and colleges","USA","","","000155 - USAID. Bur. for Program and Policy Coordination. Ofc. of Development Program Review and Evaluation","","","English","","PPCeval","","Berg, Robert J.|Kitchell, Raymond E.|et al.","Development assistance","1973","","","","Report of review team on institutional grants program (211D)","","PN-AAD-502","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTU4MTg0","United States and District of Columbia",""
"","","Special Evaluation","Documents","AID/CSD-3284","","1/1/1973 12:00:00 AM","","Educational materials|Educational radio","Mexico","","","001416 - Stanford University","","","English","","","","De Sotelo, S. S.","Educational development","1973","","","","Radio schools of the Tarahumara, Mexico; an evaluation","","PN-AAD-828","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTU4NDkx","Mexico",""
"","Work order no. 2|Evaluation period: 1 Jan1970-31 Nov1972","Special Evaluation","Documents","AID-CSD-3377","","2/1/1973 12:00:00 AM","","Teacher training|Participants|Tutors|Educational materials|Science education|Curriculum|Educational reform|Primary education|Limited data plus","Africa","http://pdf.usaid.gov/pdf_docs/PDAAA584A1.pdf","35,253 KB","000251 - American Institutes for Research (AIR)","","","English","application/pdf","Sector level evaluation|Multi country evaluation|Evaluation team|Indepth evaluation|Onsite evaluation","","AGBENYEGA, CHRISTIAN O.|CIEUTAT, VICTOR J.|et al.","","1 Feb 1973","","","","AFRICAN PRIMARY SCIENCE AND AFRICAN MATHEMATICS PROGRAMS : EVALUATION AND RE - RECOMMENDATIONS. (OCTOBER-NOVEMBER 1972)","","PD-AAA-584-A1","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTY4Mjgw","Africa Regional","6980357"
