Abstract,Ancillary_Data,Bibliographic_Type,ContentType,Contract_Grant_Number,Credit,Date_Resource_Created,Description,Descriptors_Topical,Descriptors_Geographic,File,File_Size,Inst_Author,Inst_Publisher,Inst_Sponsor,Language,Mime_Type,New_Thesaurus_Terms,Notes,Personal_Author,Primary_Subject,Publication_Date_Freeform,Related_Doc_Links,Report_Number,Series_Title,Title,Title_Translated,Unique_ID,URI,USAID_Geography,USAID_Project_Number
"","Delivery order no. 5","Special Evaluation","Documents","PDC-5517-I-00-0103-00","","1/1/1992 12:00:00 AM","","Regional development|Natural resource management","Africa south of Sahara","http://pdf.usaid.gov/pdf_docs/PDABD603.pdf","3,599 KB","001335 - Chemonics International Consulting Div.","","000004 - USAID. Bur. for Africa","English","application/pdf","Interim evaluation|Nongovernmental organizations (NGO)","","Brandstetter, Robert H.|Karch, G. Edward","Natural resources management","Jan 1992","","","","PVO-NGO/NRMS [natural resource management support] project : midterm evaluation","","PD-ABD-603","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjE5OTI3","Africa Regional","6980467"
"Evaluates the Population Information Program (PIP), implemented by Johns Hopkins University, which provides up-to-date, comprehensive information on population, family planning (FP), and related health issues in several languages to policymakers, service providers, researchers, and others worldwide.  Interim evaluation covers the period ending 10/91. Interviews with users, data from readership surveys, and user reports confirm that PIP products are highly regarded. ""Population Reports"" and ""International Family Planning Perspectives"", PIP's two major publications, are described as authoritative, valuable, and highly informative; their timely coverage of FP topics is especially appreciated.  Users suggest that the publications, especially ""Population Reports"", include guidance on ways to extend their local use, e.g., for training purposes.  Both publications could have far greater impact if: (1) the budget were increased to allow for wider distribution; (2) they were translated into more languages, such as Arabic, Turkish, Hindi, and some African languages. The POPLINE database has long played a strategic role, and its most recent development, a CD-ROM distributed regularly to 160 sites, has greatly increased and facilitated use of the database. However, the disc is not being properly used at all 160 sites. The sites that are working well have people who have been trained in both the use of information and in CD-ROM technology.  This makes the development of a training manual important.  Also, some users feel that the database underrepresents the experiences of developing countries. The Informed Choice Task Force presented a set of recommendations to USAID and the FP community in a 1989 report, which included criticisms of the lengthy procedures for informed consent in many countries.  To combat this problem, PIP created a slide show for FP associations, service providers, program managers, and policymakers in developing countries. The Population Resources Center, PIP's mechanism for handling requests for information, documents/publications, or online database searches, was given high marks by users but is underused.  Its use should be encouraged. Because the FY 1992 obligation will not be allocated until the project is extended or succeeded in 8/92, $600,000 is needed to fund publication and database activities until that time. Given its comprehensive scope and highly respected character, PIP can serve as an intellectual bedrock for USAID population programs in the 1990's.  To do this, it -- or its successor -- will have to take a more proactive role in three areas: gathering information; improving coordination among cooperating agencies; and gearing activities more closely to USAID's evolving strategy.","Project title: Population technical assistance (POPTECH)","Special Evaluation","Documents","DPE-3024-Z-00-8078-00","","1/1/1992 12:00:00 AM","","Family planning|Population planning|Information and referral services|Information dissemination|Publications|Computer technology|Databases|Family planning research","","http://pdf.usaid.gov/pdf_docs/PDABD651.pdf","1,666 KB","006243 - Dual & Associates, Inc.|000673 - International Science and Technology Institute, Inc. (ISTI)","","006988 - USAID. Bur. for Research and Development. Ofc. of Population","English","application/pdf","Interim evaluation","","Trayfors, William|Kearl, Bryant|et al.","Population and demography (General)","29 Jan 1992","","Report no. 91-114-131","","Evaluation of the population information program (PIP)","","PD-ABD-651","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjIwMDU2","Development Support","9363024"
"Evaluates a research project to combat iron deficiency anemia. The evaluation covers the period from the late-1970's to 11/91. The project, which funds three separate programs, has generated many impressive achievements that would not have been possible without USAID support.  (1) The program at the International Center for Control of Nutritional Anemia (ICCNA) at the University of Kansas has been a leader in identifying conditions that enhance iron absorption, developing new systems for delivering biologically available iron via iron supplementation and fortification strategies (of which fortification is the more effective approach).  The use of iron EDTA as an iron source holds considerable promise in bypassing the effect of major absorption inhibitors found in many foods.  ICCNA has also developed methods to evaluate iron status and has trained developing country personnel to monitor and evaluate iron improvement programs. (2) The program at Rutgers University has made notable progress in dealing with the difficult technological problems in the iron fortification of rice without sacrificing color, flavor, texture, and acceptability.  If proven successful, the technology should be applicable to other foods and should benefit from the scientific resources of ICCNA. (3) The International Nutritional Anemia Consultative Group (INACG) at the Nutrition Foundation, Inc. has been effective in heightening professionals' awareness of the iron deficiency problem and in communicating developments in this field through international meetings and scientific reviews.  These programs have involved professionals from developing countries, bilateral and multilateral organizations, NGO's PVO's, and the food industry.  However, their role in influencing policymakers and in advocating fortification programs has been limited. All three programs have involved professionals from developing countries, bilateral and multilateral organizations, NGO's, PVO's, and private food companies. Progress to date strongly warrants continuation of support. Specific recommendations are as follows.  (1) Given the importance of iron deficiency research, USAID should spearhead an international coalition to support such research.  The project needs an advocacy component to reach USAID decisionmakers, in Washington and in the field, to galvanize their support.  (2) USAID should support field trials with a direct impact on the iron deficiency problem, in particular the iron delivery systems developed at ICCNA and the fortification methods developed at Rutgers.  (3) To sustain the project's achievements, all three grantees need to be involved in capacity building at the developing country level.  (4) The Agency should consider fortifying Title II commodities and blends using systems developed at ICCNA, and should seek country-level approval for use of iron EDTA through the Codex Alimentarius Commission in order to facilitate iron fortification in developing countries.","Delivery order no. 3|Project title: Food security and nutrition monitoring (IMPACT)","Special Evaluation","Documents","PDC-5110-I-00-0070-00","","1/1/1992 12:00:00 AM","","Iron deficiency anemia|Vitamin deficiencies|Nutrition research|Nutritional status|Iron|Assimilation (nutrient)|Research centers|Universities and colleges","","http://pdf.usaid.gov/pdf_docs/PDABD636.pdf","405 KB","006994 - Casals and Associates","","006941 - USAID. Bur. for Research and Development. Ofc. of Nutrition","English","application/pdf","Interim evaluation","","Nesheim, Robert O.|Purvis, George A.|Sabry, Zak I.","Vitamins and vitamin deficiency","24 Jan 1992","","","","combating iron deficiency [: project evaluation]","","PD-ABD-636","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjIwMDY1","Development Support","9365115|9365110"
"Mid-term evaluation of a project to support collaborative research between Indian and U.S. scientists in contraceptive development and disease-related immunology at 4-6 institutions and to finance scholarships for Indian scientists.  The evaluation covers the period 1988-7/91. The project has experienced major implementation problems which have significantly delayed proposed activities.  Three years after the project launch, collaborative research is just beginning.  Delays have occurred in:  defining the management structure for day-to-day activities; reviewing collaborative research proposals; and executing the participating agency services agreement with the U.S. Office of International Health/National Institute of Allergies and Infectious Diseases. The project still faces problems in defining intellectual property rights, procuring U.S. scientific equipment, and transferring funds to the Government of India. The project secretariat is partly at fault.  It did not systematically implement the instruction of the joint working group or give the project continuous, focused attention at critical points.  The secretariat took a less than active role in promoting the project among the participating Indian institutions and failed to expeditiously address managerial and procedural issues. Despite these problems, the collaborative research projects submitted for funding are conceptually very good and scientifically significant, the researchers involved are qualified and motivated, and the four participating Indian research institutes have good infrastructure and research capabilities.  Six of eleven collaborative research proposals have been approved and funded; seven new collaborative research relationships have been established; eight research fellowships have been awarded; and several scientific publications have been prepared. Five major lessons were learned.  (1) A program that has dual scientific foci complicates the management structure, divides scarce resources, and reduces the prospects of achieving significant results. (2) Project designs should be consistent with the timeframe of the project and the funds available.  (3) When multiple agencies are involved, the roles and responsibilities of each must be clearly defined and systems for communicating and coordinating fully elaborated.  (4) Collaborative research projects require that procedures and timelines for peer review, approval, and funding be defined at the start of the project and strictly followed.  (5) If intellectual property rights issues cannot be resolved, the Mission must refocus projects, perhaps on training scientists or strengthening research institutions.","Cover date incorrectly listed as: February 5, 1991|Companion Evaluation Summary: PD-ABD-687|Project title: Population technical assistance (POPTECH)","Special Evaluation","Documents","DPE-3024-Z-00-8078-00","","2/1/1992 12:00:00 AM","","Research collaboration|Contraceptive research|Disease research|Research centers","India","http://pdf.usaid.gov/pdf_docs/PDABD687.pdf","1,878 KB","006243 - Dual & Associates, Inc.","","006988 - USAID. Bur. for Research and Development. Ofc. of Population|008557 - USAID. Mission to India","English","application/pdf","Interim evaluation","","Tomaro, John B.|Dorflinger, Laneta|et al.","Contraceptive methods","5 Feb 1992","","Report no. 91-118-126","","Midterm evaluation of contraceptive development and research in immunology project (CD & RI) (USAID/India project 386-0500)","","PD-ABD-687","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjIwMTY5","India","3860500|9363024"
"Interim evaluation of a project to help El Salvador's Program for Small and Microenterprises (PROPEMI) increase the number and profitability of small and microenterprises (SME's).  The evaluation covers the period 8/85-11/91 and is based in large part on a survey of 244 PROPEMI loan recipients. The target of creating one new job per loan recipient has been surpassed by 35%.  Earnings have also increased at a much higher rate than anticipated; 82% of those interviewed reported that their earnings had increased and 68% attributed this increase entirely to project loans. PROPEMI's minimum loan is colones 1,000 (vs. 5,000 in most of the established financial system).  This fact, plus several loan eligibility requirements explains why the project has not achieved its targets in terms of capitalization, number of loans, and number of people graduated to the established financial systems.  In fact, 69% of borrowers have received loans of less than colones 10,000.  These small loans take as long to formulate as larger ones, especially as PROPEMI's staff often has to take physical inventories to determine the size of the business. The net percentage of ""graduate"" beneficiaries who received first loans from banks after initially borrowing through PROPEMI is only 2.6%. PROPEMI's training program has reached about 5,000 people.  No other private sector program in El Salvador is as extensive as PROPEMI's administrative training program for SME's, which offers five core courses in accounting, costs, administration, marketing, and sales and investment projects.  As to whether or not trainees retain the information given them, survey results were positive in 49% of cases regarding administration and 66% of cases regarding costs.  In order for the training component to break even, an average of 4.5 courses per week would have to be given with an average enrollment of 15 individuals. Currently, one course a week is offered with an average enrollment of 10 people.  PROPEMI TA basically relates to preparing credit applications, and to credit follow-up or supervision.  Very few survey respondents stated that technical advice had helped increases earnings or employment. During the past 2 years, PROPEMI's income has grown faster than have its costs, about 66% of which are related to salaries and fringe benefits.  The credit component is the only activity that can lead PROPEMI to true self-sustainability, but to achieve sustainability, PROPEMI must attain a portfolio of about colones 75 million.  At present, PROPEMI has colones 36 million available for lending, and about 15 million of these represent its outstanding portfolio.  Delinquency is 12.4%.  It is estimated that PROPEMI has a credit market share similar to FIGAPE (a public sector counterpart institution). A I.D. should continue to support PROPEMI; however, it is first necessary for the directors of FUSADES and PROPEMI's Commission to reconsider PROPEMI's priorities, taking into account the conceptual and operational changes recommended in this report. Future efforts should focus on lending to small enterprises instead of micro-businesses, and training and post-credit TA should be de-emphasized. Several lessons were learned.  (1) A credit demand survey (not a demographic study) designed by senior credit specialists should be carried out at the project design stage.  (2) The selected credit institution should ""match"" the characteristics of the target group.  (3) The type of human resources needed to conduct the credit program should be identified during the design stage, along with the external TA required to upgrade their skills.  (4) In the case of new credit institutions, it is best not to impose too many eligibility rules on loan applicants before the institution has developed its portfolio.  (5) The permanent monitoring of the impact of the project activities should be instituted at the beginning of the implementation stage.","Delivery order no. 38|Companion evaluation summary: PD-ABF-136","Special Evaluation","Documents","PDC-0085-I-00-9060-00","","2/1/1992 12:00:00 AM","","Private enterprises|Small scale enterprises|Microenterprises|Commercial credit|Business support services|Loan administration|Management training|Income|Employment|Beneficiary count","El Salvador","http://pdf.usaid.gov/pdf_docs/PDABD650.pdf","4,344 KB","000356 - Checchi and Co. Consulting, Inc.","","008540 - USAID. Mission to El Salvador","English","application/pdf","Final evaluation","","","Small scale enterprises","Feb 1992","","","","Final report : evaluation of program for small and microenterprises (PROPEMI)","","PD-ABD-650","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjIwMzQ5","El Salvador","5190304"
"PACR of a project (1981-1990) to assist the Government of El Salvador in restoring infrastructure destroyed by guerrilla activity. The project provided implementing agencies with the resources to rapidly repair vital public works.  The project also reduced the impact of continuous interruptions of vital public services by guerrilla activity, thus preventing further deterioration in El Salvador's economy.  This gave stability and credibility to the government in its effort to maintain and improve its democratic initiatives. Major accomplishments include the following:  (1) 3,241 transmission lines were repaired; (2) a 22.1 megawatt standby generator plant was installed in San Miguel; (3) 104 bridges were repaired and 41 rapid temporary-bridge replacements were built; (4) emergency generators were put in place to provide standby power for hospitals, water pumping stations, telecommunications, and other essential services; (5) 242 units of heavy construction equipment were provided to the Ministry of Public Works to replace equipment destroyed by guerrillas and permit rapid repair of damaged bridges and highways; (6) 97 repairs were made to locomotives (several were completely rebuilt), as well as 346 repairs to rolling stock; (7) 118 emergency/backup power systems were installed by the telecommunication authority, in addition to repair of the telephone system; and (8) 288 water supply pumping stations were kept functioning, through more than 350 repairs. Even though the project did not include a substantial institutional development component, the use of host country contracting for commodity procurement had a significant impact, since many Salvadoran officials learned and put into practice contracting procedures based on highly competitive rules.","","Final Evaluation Report","Documents","","","1/1/1992 12:00:00 AM","","Economic infrastructure|War damage|Electric power generation equipment|Bridges|Transmission lines|Public works","El Salvador","http://pdf.usaid.gov/pdf_docs/PDABD744.pdf","276 KB","008540 - USAID. Mission to El Salvador","","","English","application/pdf","Final evaluation","","","Business enterprises","30 Jan 1992","","","","Project assistance completion report : public service restoration project no. 519-0279","","PD-ABD-744","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjIwNDIw","El Salvador","5190279"
"Final evaluation of two grants to the Interamerican Institute of Human Rights to promote human rights and fair elections in Latin America and the Caribbean.  Activities include training, TA, research, conferences, and information dissemination. The evaluation covers the period 8/86-2/92. The Institute has made great progress since 1988 and is well positioned to respond to the challenges of the 1990's.  The Executive Director and her excellent staff have improved administrative procedures and practices, built a senior management team, and melded projects into a more coherent program.  The Institute now enters its second decade as a human rights organization of enormous moral suasion in both governmental and nongovernmental circles, unsurpassed in its ability to provide highly professional consultant services and in the volume of services it provides and the countries its programs include.  Vital to the Institute's ability to respond to political demands while maintaining impartiality is the diplomacy of the Executive Director and staff. Major organizational changes have been made to integrate the election assistance program into the Institute's structure, consolidate administration and finance under a new director of administration, and create an education unit.  The new structure also reflects the Institute's attempt to balance functional and client needs.  While the reorganization has solidified the program base and started to integrate programs across functions, some additional fine-tuning needs to be done. High demands on staff time have resulted in frequent travel and contribute to the episodic, sometimes frantic, nature of their work. Too often authority is not clearly delegated in the absence of the individual in charge, resulting in a lack of workload coordination and an inability of units to make necessary decisions. At the management level, creation of an Executive Committee and regular meetings with staff in the work units have improved internal communications.  An administrative procedures manual has been prepared and circulated to all staff.  The Institute has also prepared an excellent manual to standardize and communicate personnel policies. Personnel turnover has been very low.  There are few non-Costa Ricans on the staff, but this is in spite of the Institute's effort to recruit foreigners. A modern computer-based accounting system is being installed, and the Institute is also updating its management information system. Although the Institute's financial base still rests almost entirely on grants, it has widely diversified its funding.  The number of donors has increased from 11 in 1987 to 29 today. The Institute has been successful in focusing education activities and linking them to the Institute's vision.  Since 1985, the Institute has trained 1,221 individuals in courses held in 18 countries.  The interdisciplinary course is the most highly valued activity.  The course has been strengthened by adding relevant and focused subject matter, increasing opportunities for informal discussion, and including films. Follow-up continues to be a concern, but a bulletin is being used to maintain a network among graduates. Education is also integral to the election assistance program of the Institute's Center for Electoral Assistance and Promotion (CAPEL). Activities include training for pollwatchers, political party representatives, and other election functionaries; civic education campaigns to motivate participation in elections; and courses and seminars on topics related to elections.  The Institute's NGO Unit organizes specialized conferences, regional seminars, training workshops, courses, and TA assignments. The Institute also established a Women's Program in 1989.  So far, the program has organized courses and workshops and prepared a five-year research and education plan. However, the area of women and human rights still lacks institutionalization and legitimacy in Latin America. The Institute has produced a prolific number of high-quality publications for use in teaching and promoting the legal, judicial, social, and political bases of human rights.  The publications are widely read and have had a strong positive impact on improving the depth and breadth of discussion on human rights issues.","Delivery order no. 8|Project title: Advancing basic education and literacy (ABEL)","Final Evaluation Report","Documents","PDC-5832-I-00-0095-00","","2/1/1992 12:00:00 AM","","Human rights|Elections|Civil and political rights|Civic education","Latin America|Caribbean","http://pdf.usaid.gov/pdf_docs/PDABD757.pdf","4,013 KB","001341 - Creative Associates International, Inc. (CAII)","","002881 - USAID. Bur. for Latin America and the Caribbean. Ofc. of Democratic Initiatives","English","application/pdf","Final evaluation","","Lockett, Danuta|Kruvant, Charito M.|et al.","Human rights and social justice","24 Feb 1992","","","","Final evaluation of AID grant nos. LAC-0591-G-SS-6065-00 and LAC-0591-G-SS-6066-00 to the Interamerican Institute of Human Rights","","PD-ABD-757","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjIwNDQ4","Latin American Regional","5980591|9365832"
"","Attached to PD-ABD-773|Delivery order no. 7|Spanish ed.: PD-ABF-430","Special Evaluation","Documents","PDC-0085-I-00-9087-00","","1/1/1992 12:00:00 AM","","Child survival activities|Diarrhea|Disease prevention and control|Immunizations|Water supply|Sanitation|Community participation|Development project management","Bolivia","http://pdf.usaid.gov/pdf_docs/XDABD773A.pdf","5,029 KB","003366 - TvT Associates","","008515 - USAID. Mission to Bolivia","English","application/pdf","Interim evaluation","","Becht, James N.|Burdman, Geri Marr|Fisken, Bernard J.","Maternal child health care","31 Jan 1992","","","","Midterm evaluation of the community and child health project (5110594)","","XD-ABD-773-A","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjIwNTM4","Bolivia","5110594|9300085"
"Mid-term evaluation of a cooperative agreement with the Association for Voluntary Surgical Contraception (AVSC) to enable developing country institutions to provide high-quality voluntary surgical contraception (VSC).  The evaluation covers the period 8/88-11/90. In general, AVSC has executed its complex responsibilities quite satisfactorily.  Activities have included projects (146 subagreements in 40 countries and 76 small grants in 24 countries), TA, training courses and workshops, and publications and program materials.  Outputs in terms of service expansion, free and informed choice, medical safety, and program improvement have been achieved on time or ahead of schedule. For example, 14 regional training centers have been established and 134 training courses held, versus respective targets of 10 and 80. AVSC has performed with sensitivity and flexibility.  Although it has definite preferences for certain methods and approaches, it has expanded its scope beyond interval sterilization to include other surgical methods (e.g., Norplant, postpartum sterilization, and IUD insertion). AVSC has shown leadership in quality assurance and counseling, and provides an international model with its focus on free choice. Additionally, AVSC communications with A.I.D./W and Missions are good, and the Association maintains extensive links with other cooperating agencies and multilateral agencies. AVSC needs to make improvements in several areas.  (1) Greater attention could be given to information and education efforts and outreach activities.  (2) Lack of systematic follow-up of participants in training courses makes it impossible to assess the true effect of training activities.  (3) The management information system provides little of value, and there is little systematic effort to utilize evaluation to improve projects or management.  (4) Strategic planning is limited to only a few areas of activity.  (5) AVSC supports a disproportionate share of small projects, which are administratively time-consuming.  (6) Lack of field experience and hands-on technical expertise in the Program Management Division hampers links between headquarters and the field. In the future, AVSC should devote more attention to the private for-profit sector, focus more on sustainability, and increase managerial efficiency by continuing the present trend toward decentralization. Further, as sterilization moves into the contraceptive mainstream in the 1990's, AVSC will not only have to expand its focus from local projects to national programs, but also relax some of its standards of perfection in non-critical areas.  It will also have to replace its current impartiality toward policy issues with a stance of scholarly advocacy of progressive VSC laws and regulations.","Project title: Population technical assistance (POPTECH)","Special Evaluation","Documents","DPE-3024-Z-00-8078-00","","3/1/1992 12:00:00 AM","","Sterilization (birth control)|Family planning services|Contraceptive methods","","http://pdf.usaid.gov/pdf_docs/PDABD780.pdf","3,030 KB","006243 - Dual & Associates, Inc.|000673 - International Science and Technology Institute, Inc. (ISTI)","","000191 - USAID. Bur. for Science and Technology. Ofc. of Population","English","application/pdf","Interim evaluation","","Marshall, John|Hyatt-Hearn, Susan|et al.","Contraceptive methods","12 Mar 1992","","Report no. 90-101-123","","Midterm evaluation of the Association for Voluntary Surgical Contraception (AVSC) cooperative agreement","","PD-ABD-780","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjIwNTQ3","Development Support","9363024"
"","Cover date: Feb 1992","Special Evaluation","Documents","DHR-5741-C-00-1061-00","","1/1/1992 12:00:00 AM","","Electric power generation|Electric power plants|System design","Philippines","http://pdf.usaid.gov/pdf_docs/PNABK556.pdf","3,415 KB","006333 - Bechtel National Inc.","","003674 - Philippines. National Power Corp.|008592 - USAID. Mission to Philippines|006974 - USAID. Bur. for Research and Development. Ofc. of Energy and Infrastructure","English","application/pdf","","","","Energy (General and research)","Jan 1992","","","","Evaluation of power plant operation for the National Power Corporation of the Philippines","","PN-ABK-556","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjIwNTYy","Philippines","9365741"
