Abstract,Ancillary_Data,Bibliographic_Type,ContentType,Contract_Grant_Number,Credit,Date_Resource_Created,Description,Descriptors_Topical,Descriptors_Geographic,File,File_Size,Inst_Author,Inst_Publisher,Inst_Sponsor,Language,Mime_Type,New_Thesaurus_Terms,Notes,Personal_Author,Primary_Subject,Publication_Date_Freeform,Related_Doc_Links,Report_Number,Series_Title,Title,Title_Translated,Unique_ID,URI,USAID_Geography,USAID_Project_Number
"","Task order # 807|Evaluation indefinite quantity contract (Evaluation IQC)","Special Evaluation","Documents","AEP-I-00-00-00023-00","","1/1/2003 12:00:00 AM","","Energy conservation|Energy policy|Policy reform|Legal reform|Institution building|Private sector|Municipal level|Industrial facilities|Natural gas|Global warming|Financing","Ukraine","http://pdf.usaid.gov/pdf_docs/PDABX511.pdf","134 KB","000436 - Development Associates, Inc.","","010257 - USAID. Bur. for Europe and Eurasia|011039 - USAID. Regional Mission to Ukraine, Belarus, Moldova","English","application/pdf","Interim evaluation","","Willingham, Michael|Laszkiewicz, George|et al.","Energy conservation","24 Jan 2003","","","","Ukraine energy efficiency evaluation : final report","","PD-ABX-511","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY5Mzg0","Ukraine",""
"","Task order no. 823|Evaluation indefinite quantity contract (Evaluation IQC)","Special Evaluation","Documents","AEP-I-00-00-00023-00","","1/1/2003 12:00:00 AM","","Agribusiness|Agricultural income|Economic growth|Business support services|Small farms|Business associations|Agricultural development|Dairies|Crop production|Agricultural credit|Famine early warning systems|Fertilizers|Agricultural policy|Policy reform|Agricultural economics","Malawi","http://pdf.usaid.gov/pdf_docs/PNACR843.pdf","3,971 KB","000436 - Development Associates, Inc.","","008573 - USAID. Mission to Malawi","English","application/pdf","Interim evaluation","","Jackson, Donald|Dorsey, Joseph|et al.","Agricultural economics","Jan 2003","","","","Evaluation of USAID/Malawi's strategic objective 1: increased agricultural incomes on a per capita basis, 1993 to 2001","","PN-ACR-843","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY5NTk4","Malawi",""
"","","Special Evaluation","Documents","167-G-00-00-00001-00","","2/1/2003 12:00:00 AM","","Agribusiness|Agricultural inputs|Economic impact|Impact assessment|Agricultural development|Agricultural productivity|Cost benefit analysis|Food security|Natural resources and the environment|Personnel","Kosovo","http://pdf.usaid.gov/pdf_docs/PNACR994.pdf","127 KB","000630 - International Fertilizer Development Center (IFDC)","","010393 - USAID. Mission to Kosovo","English","application/pdf","","","Baanante, Carlos A.","Agribusiness","Feb 2003","","","","Economic impact assessment of the USAID/IFDC Kosovo agribusiness development program (KADP)","","PN-ACR-994","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY5ODIy","Kosovo (Serbia)",""
"Close-out report of USAID/Bangladesh on strategic objective 3 (SO3): improve representation of the interests of women and the rural poor. The report covers the period FYs 1996- 2002 and focuses on the cornerstone Democracy Partnership (DP) program, implemented by The Asia Foundation (TAF). Achievements in DP's five programmatic areas were as follows: Citizen advocacy.  Interventions helped to improve tax collection, water quality and sanitation, local roads, and the effectiveness of flood relief.  Advocacy efforts were also highly effective in promoting grassroots development in ways that could not be achieved through national-level efforts. Free and fair elections.  Interventions provided rural Bangladeshis with a better understanding of their rights, roles, and responsibilities in the electoral process and helped create a more educated and informed population in future elections.  In addition, the base of individuals serving as local elected officials was broadened.  The DP was instrumental in strengthening a network of organizations with countrywide election monitoring capacity.  In the 1996 elections, two partner NGOs fielded about 30,000 observers.  For the 1997 UP elections, the number increased to almost 34,000 and one election observer was fielded in every polling station. Performance and accountability of local elected bodies. Interventions helped to increase the ability of participating NGOs to positively influence local government (LG) and helped LG councils become more democratic and effective.  The percentage of LG councils using five or more best practices (out of a total of 14) rose to 96% in 2000, up from 70% in 1999 and 34% in 1998.  The average number of best practices being used increased to 9.88 in 2000, up from 8.57 in 1999 and 2.98 in 1998. Increasing awareness of legal rights.  DP educated disadvantaged rural populations in their legal rights, where they should go for assistance, how to deal with the police, and how to effectively participate in alternative dispute resolution (ADR) mechanisms.  Some 88% of all marriages surveyed in the legal awareness program were registered in 1999, versus the control sample of 59%. Promotion of ADR.  Program interventions helped to change the traditional mediation system in Bangladesh, ensuring the participation of women and people other than the ruling elite in mediation committees, and sensitized community leaders to gender equity and issues involving the disadvantaged.  These activities transformed justice delivery to the poor.  In areas with ADR programs, confidence in local justice processes was 58.9% in 1999 and 64.1% in 2000 compared with the 1998 baseline of 45%.  Impacts of other programs funded under SO3 led to progress in combating the trafficking of women and children as well as in fighting corruption.  Important strides were also taken towards reducing child labor and strengthening the role of unions in the garment sector. The sustainability of DP activities is SO3's most important legacy. The DP pioneered a wide range of democracy and governance (DG) programs currently being implemented in Bangladesh today.  Encouraged by the success of the DP program, many donors have for the first time developed and funded through the NGOs new programs for grassroots democratization, local governance, and informal justice systems.  The DP also introduced numerous NGOs to democracy issues, and these NGOs now consider democracy promotion to be a fundamental part of their core development activities. Many are continuing DG activities with funding from other donors or with their own resources. The Partnership also inspired the formation of several democracy coalitions/networks and advanced techniques used locally in several areas of governance and human rights. Several NGOs and NGO coalitions are monitoring the 2003 UP [probably=Union Parishad] elections, fielding more than 100,000 election observers.  The Partnership has also had significant and lasting impacts on the way many NGOs in Bangladesh approach grassroots activities.  The previous pessimism about LG activities felt by many NGOs has been replaced by confidence.  In addition, the reports produced by TAF under the DP have substantially increased the understanding of local-level DG issues in Bangladesh. Lessons learned are as follows:  (1) The USAID/Bangladesh DG/ED Team must work closely with State and the Embassy in the search for DG funds and help coordinate among various USG agencies. (2) DG activities should not be spread over too many sub-sectors nor across too many NGOs.  The DG program must be focused.  (3) In order to affect change at the national level, numerous local human rights activities must be linked and coordinated -- a daunting challenge.  (4) The DG horizon must be long term, and activities should not focus on short-term success. Progress in DG programs is frequently uneven and unpredictable, and this fact must be taken into account in monitoring and evaluation activities. (6) The USG has a major competitive advantage in providing DG assistance, given both our experience and commitment to human rights and the promotion of democratic values.  (7) Progress in all other sectors in Bangladesh is threatened if democracy does not continue to develop and gain strength.","","Final Evaluation Report","Documents","","","2/1/2003 12:00:00 AM","","Strategic objectives|Democratization|Disadvantaged groups|Women|Poor|Rural populations|Advocacy|Political participation|Elections|Governance|Municipal level|Accountability|Civil and political rights|Alternative dispute resolution|Grassroots development|Networks|Project sustainability|Indigenous private voluntary organizations","Bangladesh","http://pdf.usaid.gov/pdf_docs/PDABX692.pdf","36 KB","008511 - USAID. Mission to Bangladesh","","","English","application/pdf","USAID program close-out","","","Women in development","Feb 2003","","","","Strategic objective 3 close-out report : USAID/Bangladesh [-- improved representation of interests of women and the rural poor]","","PD-ABX-692","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY5ODU3","Bangladesh",""
"Closeout report of USAID/Cambodia on achievement of its strategic objective (SO) to improve reproductive and child health (RCH). The impact of activities under this SO for the period 1996 to 2000 is reflected in:  decreases in infant and child mortality per 1000 live births from 115 to 95 and from 181 to 124.5, respectively; and an increase in contraceptive prevalence rate from 7% (in 1995) to 19% (29%-37% for USAID target areas in 2002).  All achievements were in excess of target. Achievements in terms of intermediate results (IR) are as follows: (1) An expanded supply of RCH services is reflected in:   an increase in couple years of protection (CYP) from 100,000 in 1998 to 432,000 in 2002; a decrease in the stock-out rate of essential drugs and contraceptives at health centers from 80-90% in early 1998 to 5% in 2002; .and adoption/use by the Ministry of Health (MOH) and NGOs of numerous policies, standards, training modules, guidelines, and protocols such as COPE (client-oriented, provider-efficient) and safe motherhood.  (2) In terms of access to RCH services: households having access to safe water in target areas increased from less than 13% in 1996 to over 50% in 2002; 30% of deliveries were attended by trained midwives in Reproductive and Child Health Alliance (RACHA) target areas in 2001 (up from almost zero in 1997); the availability of Reproductive Health Association of Cambodia (RHAC) services in target areas increased from nearly zero in 1997 to 37% in 2002; the contribution of health centers to the contraceptive prevalence rate rose more than five-fold between 1998 and 2001; vitamin A coverage increased from less than 15% in 1997 to over 85% in USAID-supported target areas by 2002; and immunization coverage rates in CARE's project areas rose from 18% in 1995 to 84% in 2002.  (3) IR 3: A strengthened demand for quality services is reflected in:   CYP directly attributable to USAID-supported interventions increased from just over 100,000 in 1997 to 432,000 in 2002; the volume of services provided by RCH clinics increased from less than 100,000 clients in 1998 to over 350,000 in 2002; more than 45 health feedback committees and 30 village development committees were established and are working with health centers and target communities to improve access to health center services; there were increases in sales of 'Number One' brand condoms from zero in 1994 to 18.5 million in 2002 and of 'OK' brand oral contraceptives from zero cycles in 1997 to over 700,000 in 2001. The prospects for long-term sustainability are good.  There is good reason to expect that the MOH will continue to make significant progress towards the goal of accessible health services nationwide.  Since the delivery of RCH interventions is urgently needed but constrained by the level and pace of system development, RCH efforts in Cambodia must proceed on two tracks simultaneously: strengthening the nascent service delivery system, and promoting the delivery of specific interventions. Many of the gains achieved under the SO can be sustained through the efficacy of Cambodian and international partners and the strong commitment of the Cambodian government. The principal threats to sustainability are the weak institutional capacity of public health services, the overall poverty within Cambodia with increasing landlessness and inability of the poor to access adequate nutrition, and the possibility of renewed violence. Lessons learned were as follows: (1) Competency-based training of midwives has significantly improved the quality of their services and utilization. Keys to this success have been careful training selection criteria, practical training provided in a setting with a high volume of deliveries, and intensive post-training follow-up.   (2) Very dramatic reductions in malarial morbidity and mortality can be achieved through a combination of information, communication, and education (IEC) programs and the distribution of insecticide-impregnated bednets when carried out by NGOs in a structured, intensive manner at the community level, accompanied by careful monitoring and evaluation of both behavioral change (maintenance and use of bednets) and impact (decrease in malaria incidence).  (3) There are numerous potentials for linkages between RCH and HIV/AIDS/sexually transmitted disease (STD) interventions that would render both more effective, e.g., in joint IEC efforts; in links between maternal care and prevention of STDs and of mother to child transmission of HIV; and in links between family planning, voluntary counseling and testing, and STD/HIV prevention.  (4) Social marketing is an appropriate and cost-effective strategy for increasing access and demand for family planning methods. However, current marketing strategies do not effectively reach the rural areas where the majority of the population resides. There is also untapped potential for using social marketing to improve access to and demand for RCH services, e.g., oral rehydration solution (ORS), iron/folate supplements, etc.  (5) In the Cambodian context, where human resource capacity is extremely weak, and change is needed not only in information and skills but in basic attitudes and expectations, effective TA and training requires extensive, prolonged, hands-on follow-up, coaching, and mentoring at the actual service delivery point. To achieve this, it is critical that implementing agencies systemically approach, and allocate resources for, capacity-building of their own national staff so that they are well positioned to serve as mentors.","","Final Evaluation Report","Documents","","","1/1/2003 12:00:00 AM","","Reproductive health|Child health care|Strategic objectives|Health delivery|Access to services|Family planning services|Maternal health care|Disease prevention and control|Malaria|Health policy|Health care planning|Commercial retail sale of contraceptives|Condoms|Contraceptive prevalence|Child survival activities|HIV/AIDS|Community participation|Project sustainability","Cambodia","http://pdf.usaid.gov/pdf_docs/PDABX738.pdf","42 KB","008523 - USAID. Mission to Cambodia","","","English","application/pdf","Final evaluation","","","Maternal child health care","[2003]","","","","USAID/Cambodia : strategic objective close out report -- improved reproductive and child health","","PD-ABX-738","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY5ODk1","Cambodia",""
"","","Final Evaluation Report","Documents","","","1/1/2003 12:00:00 AM","","Development programs|Strategic objectives|Disease prevention and control|HIV/AIDS|Sexually transmitted diseases|Risk aversion|Impact assessment|Performance indicators|Prostitution|Clinics|Health professional education|Human sexual behavior|Behavior change|Commercial retail sale of contraceptives|Social marketing|Condoms|Domestic government programs|Technical assistance|Indigenous private voluntary organizations|Project sustainability|At-risk groups","Cambodia","http://pdf.usaid.gov/pdf_docs/PDABX739.pdf","49 KB","008523 - USAID. Mission to Cambodia","","","English","application/pdf","USAID program close-out|Commercial sex workers","","","HIV / AIDS","[2003]","","","","USAID/Cambodia : strategic objective close out report -- reduced transmission of sexually transmitted infections and HIV/AIDS among high-risk populations","","PD-ABX-739","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY5ODk2","Cambodia",""
"","","Final Evaluation Report","Documents","","","1/1/2003 12:00:00 AM","","Development programs|Strategic objectives|Access to services|Development finance|Financial institutions|Indigenous private voluntary organizations|Institution building|Impact assessment|Credit|Savings|Economic self sufficiency|Sector restructuring|Project sustainability|Microfinance|Poverty reduction","Cambodia","http://pdf.usaid.gov/pdf_docs/PDABX740.pdf","34 KB","008523 - USAID. Mission to Cambodia","","","English","application/pdf","USAID program close-out","","","Finance","[2003]","","","","USAID/Cambodia : strategic objective close out report -- expanded access to sustainable financial services","","PD-ABX-740","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY5ODk3","Cambodia",""
"","","Final Evaluation Report","Documents","","","1/1/2003 12:00:00 AM","","Development programs|Strategic objectives|Impact assessment|Private voluntary organizations|Indigenous private voluntary organizations|Civil society|Democratization|Economic growth|Family health care","Cambodia","http://pdf.usaid.gov/pdf_docs/PDABX741.pdf","41 KB","008523 - USAID. Mission to Cambodia","","","English","application/pdf","USAID program close-out","","","Development assistance","[2003]","","","","USAID/Cambodia : strategic objective close out report -- other activities in support of agency objectives","","PD-ABX-741","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY5ODk4","Cambodia",""
"Final evaluation of Phase II of a project (1994-12/02) to promote democratic development and citizen participation (DDCP) in Bolivia. Chemonics International was the implementing entity. Major achievements are as follows:  (1) The project has promoted and popularized citizen participation in democratic processes through the creation of citizen oversight committees and base-level territorial organizations.  (2) The DDCP methodology and approach has gained widespread legitimacy at the grassroots, municipal, departmental, and national levels. (3) The project's participatory methodology and approach to strengthening and extending decentralization to the grassroots level has been well accepted and adopted by the Government of Bolivia as policy, and by different donor organizations as a part of their strategy for working with municipalities.  (4) The project developed the model of participative municipal management (MGNP), initially through working with 20 municipalities; the approach is replicable nationally. The DDCP has supported and strengthened associations of municipalities and mancomunidades (=voluntary associations of two or more municipalities) at the departmental level, and these are now replicating the model in municipalities. The project provided managerial training and TA to improve municipal authorities' efficiency in implementing and managing infrastructure projects, as well as in providing other municipal services.  (6) The integration of gender issues into the overall project methodology and approach has begun.  (7) DDCP has been instrumental in establishing two national organizations -- the Federation of Municipal Associations (FAM) and the Association of Council Women of Bolivia (ACOBOL) -- that represent and advocate women's interests in all aspects of governance. (8) The project support fund has been a valuable resource in supporting and strengthening FAM, ACOBOL, associations, and mancomunidades toward sustainable goals to provide services, representation, TA, and consulting services to municipalities and ultimately to local constituents.  (9) The project has demonstrated that it is possible to develop a ""bottom-up"" participatory decentralization activity, even when the policy and laws were ""top-down"" national initiatives.  (10) The project has instilled in the citizenry and the municipal authorities who were trained (29,000) a sense of common responsibility, ownership, and participation in municipal governance. Lessons learned are as follows.  (1) The MGNP model was successful because DDCP staff understood that popular participation in developing the model was essential and generated interest, responsibility, and ownership from the participants.  (2) With the first 20 communities (1996-99), the participative model was carefully designed as a learning process and was flexible enough to continue evolving in the light of experience.  (3) A centralized model for implementing a decentralized project was appropriate for the DDCP.  This allowed for creation of a ""think tank"" of highly experienced and knowledgeable staff at the national level, who developed the model as a group effort through trial and error.  (4) DDCP also correctly understood that, besides building the capacity of associations and mancomunidades at the departmental level, there was also a need to support the  representation of associations, mancomunidad, and municipal interests at the national level, through the creation of the FAM and ACOBOL.  The achievement of DDCP objectives would have been greatly facilitated if the gender integration process undertaken in Phase II had been incorporated into the project from the beginning.  (5) Working at the legislative level with the uninominales (=single-member circumscriptions) has been a slower process, partly due to reasons beyond DDCP's control.  The role and responsibilities of the uninominales require better definition, recognition, and support from the congress and the executive branch of government.  Until this happens, only limited successes will be possible in encouraging uninominales to effectively respond to constituents' demands and needs, as the uninominales have little power and resources within the National Congress.","Task order no. 823|Evaluation indefinite quantity contract (Evaluation IQC)","Final Evaluation Report","Documents","AEP-I-00-00-00023-00","","1/1/2003 12:00:00 AM","","Democratization|Governance|Government reform|Decentralization|Political participation|Municipal level|Institution building|Human capacity development|Public services|Associations|Women in development","Bolivia","http://pdf.usaid.gov/pdf_docs/PDABX760.pdf","2,436 KB","000436 - Development Associates, Inc.","","008515 - USAID. Mission to Bolivia","English","application/pdf","Final evaluation","","","Democratization","10 Jan 2003","","","","Final report : democratic development and citizen participation -- project evaluation","","PD-ABX-760","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY5OTI0","Bolivia","5110634"
"USAID/Nepal close-out report for strategic objective 3, usually referred to as the Women's Empowerment Program (WEP - 9/95-9/01). WEP activities focused on facilitating literacy, legal literacy, and savings and credit activities among the women in 6,265 groups.  In the literacy component, 6 months of basic literacy and numeracy education was reinforced by post-literacy materials on both savings and credit and legal literacy; 122,852 women passed a literacy test following completion of the course.  Legal literacy groups that completed the basic literacy module were introduced to the legal literacy curriculum involving 24 weeks of study.  The groups later engaged in advocacy campaigns both to address social issues and to improve local infrastructure; 109,306 women completed the course and passed a test of their knowledge of basic legal rights.  These women went onto engage in 380,883 collective actions.  Savings and credit activities group members deposited compulsory weekly savings, with the minimum amount determined by the group.  The groups loaned money to members for microenterprise projects; 86,833 women had such projects. The WEP's most important output is the thousands of women who finished the program with the self-confidence and the skills needed to change their lives and their communities.  Some of these women have already begun to seek political office; WEP groups have begun to band together to form coalitions to advocate more effectively for social and political change.  With the $10 million dollars generated annually by their microenterprises, and their $1.8 million in savings, they are an economic force in their communities.  Other significant outputs include capacity building for local NGO partners, models for literacy and savings and credit programs, and materials to teach literacy and legal literacy, combat trafficking, and explain WEP to a larger audience. (Details provided in report.) In its final report to USAID, The Asia Foundation (TAF) summarized the qualitative assessments of the project impacts made by TAF, Private Agencies Collaborating Together (PACT), and evaluation consultants, based on interaction with WEP participants, NGO staff, and government representatives.  The following is a summary of the broad impacts that they identified:  (1) patriarchal norms challenged (with both individual acts and collective actions challenging norms within families and communities); (2) changing attitudes (especially among village men, as well as growing respect of women by villagers for women's role in solving social problems); (3) enhanced sense of social responsibility (with women actively articulating and advocating concerns in the public sphere); (4) a space carved out for women in public affairs (in women's organization legal discrimination against women).  (5) increased women's confidence (shown when women take action that emphasizes their confidence, such as registering marriages and obtaining citizenship certificates, together with enhanced bargaining power within the family); (6) local development role (translating their new knowledge, and sometimes their groups savings, into practical actions for community benefit); (7) engagement with local authorities (claiming resources from the village development committee [VDC] for public development works and becoming high-profile ""watch dogs"" for their communities); (8) linkages established (between WEP women and line agencies, elected officials and other concerned authorities); and (9) networks formed (of advocacy groups at the VDC and district levels, with the beginning of linkages to the national level). Includes lessons learned and prospects for sustainability.","","Final Evaluation Report","Documents","367-A-00-98-00001-00","","2/1/2003 12:00:00 AM","","Women in development|Literacy instruction|Arithmetic instruction|Advocacy|Legal education|Associations|Political participation|Banks|Credit|Microenterprises|Income generation|Human capacity development|Local groups|Village group loans|Savings|Educational materials|Private voluntary organizations|Indigenous private voluntary organizations","Nepal","http://pdf.usaid.gov/pdf_docs/PDABX764.pdf","95 KB","008583 - USAID. Mission to Nepal","","","English","application/pdf","Final evaluation","","Kassovic, Melissa","Women in development","Feb 2003","","","","Close out report : SO [strategic objective] 3 (women's empowerment program)","","PD-ABX-764","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY5OTI5","Nepal",""
