Abstract,Ancillary_Data,Bibliographic_Type,ContentType,Contract_Grant_Number,Credit,Date_Resource_Created,Description,Descriptors_Topical,Descriptors_Geographic,File,File_Size,Inst_Author,Inst_Publisher,Inst_Sponsor,Language,Mime_Type,New_Thesaurus_Terms,Notes,Personal_Author,Primary_Subject,Publication_Date_Freeform,Related_Doc_Links,Report_Number,Series_Title,Title,Title_Translated,Unique_ID,URI,USAID_Geography,USAID_Project_Number
"","","Final Evaluation Report","Documents","FAO-A-00-95-00024-00","","1/1/2002 12:00:00 AM","","Child survival activities|Family planning|Maternal child health care|Respiratory diseases|Immunizations|Fertility|Institution building|Health delivery|Pharmaceuticals|Health finance|Private voluntary organizations|Integrated management of childhood illnesses (IMCI)","Ethiopia","http://pdf.usaid.gov/pdf_docs/PDABU770.pdf","1,927 KB","010632 - World Vision","","010926 - USAID. Bur. for Democracy, Conflict and Humanitarian Assistance. Ofc. of Private and Voluntary Cooperation (PVC)|008543 - USAID. Mission to Ethiopia","English","application/pdf","Integrated management of childhood illnesses (IMCI)","","","Maternal child health care","[2002]","","","","World Vision Ethiopia : CS XII final evaluation report -- Shenkolia child survival project : grant # FAO-A-00-95-00024-00","","PD-ABU-770","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY0NjQ4","Ethiopia","9380500"
"","","Final Evaluation Report","Documents","FAO-A-00-97-00027-00","","1/1/2002 12:00:00 AM","","Child survival activities|Private voluntary organizations|Health delivery|Human capacity development|Community participation|Behavior change|IEC|Project sustainability|Development strategies","Bolivia","http://pdf.usaid.gov/pdf_docs/PDABU784.pdf","346 KB","","","010926 - USAID. Bur. for Democracy, Conflict and Humanitarian Assistance. Ofc. of Private and Voluntary Cooperation (PVC)","English","application/pdf","","","Johnson, Lynn","Maternal child health care","Jan 2002","","","","Curamericas [and] Consejo de Salud Rural Andino : child survival XIII project -- final evaluation : cooperative agreement no. FAO-A-00-97-00027-00","","PD-ABU-784","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY0NjY4","Bolivia","9380500"
"","","Special Evaluation","Documents","FAO-A-00-99-00015-00","","2/1/2002 12:00:00 AM","","Child survival activities|Private voluntary organizations|Child nutrition|Indigenous private voluntary organizations","Mali","http://pdf.usaid.gov/pdf_docs/PDABU815.pdf","1,162 KB","000566 - Helen Keller Worldwide. Helen Keller International (HKI)","","010926 - USAID. Bur. for Democracy, Conflict and Humanitarian Assistance. Ofc. of Private and Voluntary Cooperation (PVC)|008575 - USAID. Mission to Mali","English","application/pdf","Interim evaluation","","Kone, Diakalia|Sogore, Mamady|et al.","Child survival","14 Feb 2002","","","","Mali child survival project (CS-XV) midterm evaluation : Helen Keller International/Mali","","PD-ABU-815","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY0NzQ3","Mali","9380500"
"Final evaluation of the CLEAN Urban Program (1/98-3/01), designed to increase Indonesian capacity in the area of urban environmental infrastructure. CLEAN Urban's greatest achievement was to adapt successfully to constantly changing circumstances and priorities. In the process, the project facilitated release of a major loan from the World Bank in support of the Social Safety Net program (SSN), and generated numerous proposals for creating jobs.  At the national level, advisers provided extensive policy guidance on decentralization, winning USAID recognition as a donor leader in the field.  At the local level, CLEAN Urban made a significant impact on attitudes to citizen participation in the planning process and put mechanisms in place to facilitate this.  Making these adjustments required considerable ingenuity and close collaboration between USAID and the contractor, but strained the project and blurred its objectives, creating disjunctions between the center and the field and between field components. Shortening the project from 4 to 3 years also undermined institution-building efforts. The participatory planning component achieved major advances in developing a model for strategic urban planning, known as PDPP.  This has since been approved for use by the Ministry of Home Affairs and is being increasingly applied by local governments. In terms of sustainability, CLEAN Urban had greater impact on local residents than on planning officials. The PDPP model, still in its infancy, is heavily focused on participation in planning and has little to say about implementation and management.  Results are not commensurate with the effort involved, and the contribution of the city fora appears marginal. PDPP plans are strong on physical infrastructure, but weaker on strategic issues and do not adequately reflect community concerns regarding health, education, and security.  Although designed to produce medium-term development plans, PDPP is used mainly as an instrument for preparing annual budgets. CLEAN Urban achieved its biggest impact through policy assistance to central government ministries, especially by placing advisors in key departments involved in decentralization. Advisors contributed critical inputs to the SSN program designed to create jobs, and later in support of fiscal and administrative decentralization.  Their assistance resulted in an impressively long list of laws, regulations, and ministerial decrees. Project efforts to link policy assistance at the center with local government capacity building in the field yielded mixed results. Assistance was provided to municipal corporations, but few went far in implementing guidelines. Assistance to local governments with medium-term development planning produced better results, but involved much more effort. Strengthening local capacity requires intensive, extended effort. Although the Padat Karya component never accomplished its ultimate goal of creating many jobs, it succeeded impressively in the more immediate task of rapidly generating proposals for labor-intensive employment in physical infrastructure works.  It also achieved success in recovering small loans made under SSN programs and in recycling them to new borrowers for income-generating activities.  Padat Karya's monitoring of household incomes provided valuable information to SSN planners.  USAID's motive was to create jobs quickly in response to the economic crisis.  But funds materialized late in the day, few jobs were created when they were needed, and many unemployed either went back to rural areas or joined the informal sector.   This suggests two lessons. Since new programs take time to set up, it may be more effective in times of crisis to support programs already in place.  Rather than relying on short- lived infrastructure projects dependent on government, it may be more effective and quicker to support people's own initiatives in running microenterprises. Coordination proved difficult.  The one exception was a highly productive collaboration between CLEAN Urban and Germany's SfDM project which undertook a ground-breaking needs assessment for strengthening local government capacity for decentralization and produced a framework to address these needs. Recommendations were accepted by government, and donors are using the framework as a basis for planning their own activities. Otherwise, there was little interaction with other donor programs, and there is little prospect for such. Coordination with Government of Indonesia (GOI) was plagued by the constant reorganization of GOI agencies that accompanied the quick succession of three new Presidents.  The same was true in the field, compounded by the merger of local government with local offices of the central government. Constant staff turnover undermined efforts to build local capacity.  Within CLEAN Urban itself, effective coordination between the three components -- whose integration into a single whole was circumscribed by the project's use of a performance contract -- was a constant headache.  Despite this, some degree of informal coordination was achieved at the grassroots level.","Task order no. AEP-I-801-00-00022-00|Evaluation indefinite quantity contract (Evaluation IQC)","Final Evaluation Report","Documents","AEP-I-00-00-00022-00","","1/1/2002 12:00:00 AM","","Environmental management|Public works|Urban areas|National level|Municipal level|Government planning|Government departments|Policy analysis|Employment|Social security|Popular participation|Decision making|Institution building|Project sustainability|Coordinating|Income|Data collection|Unemployment|Environmental infrastructure","Indonesia","http://pdf.usaid.gov/pdf_docs/PDABU862.pdf","478 KB","011982 - Checchi/Louis Berger Joint Venture","","008558 - USAID. Mission to Indonesia","English","application/pdf","Final evaluation|Economic crises","","Evans, Hugh|Edwards, Howard|et al.","Governance","Jan 2002","","","","Final evaluation of the clean urban project : contract no. 497-C-00-98-00003-00","","PD-ABU-862","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY0ODYz","Indonesia",""
"","Project title: Women in development technical assistance (WIDTECH)","Special Evaluation","Documents","FAO-Q-11-96-90006-00|FAO-0100-C-00-6005-00|FAO-C-00-96-90005-00","","2/1/2002 12:00:00 AM","","USAID|Development program planning|Gender analysis|Women in development|Economic growth|Private sector|Governance|Democratization|Primary health care|Disadvantaged groups|Violence|Trafficking in persons (TIP)|Domestic violence","Romania","http://pdf.usaid.gov/pdf_docs/PDABU868.pdf","984 KB","006727 - Development Alternatives, Inc. (DAI)","","010959 - USAID. Bur. for Economic Growth, Agriculture and Trade. Ofc. of Women in Development|008596 - USAID. Mission to Romania","English","application/pdf","Trafficking in persons (TIP)|Domestic violence","","Rosenberg, Ruth|Arnold, Julianna","Socioeconomic development","Feb 2002","","","","Gender assessment and plan of action for USAID/Romania","","PD-ABU-868","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY0ODg3","Romania","9300100"
"","Inside title: Documentation of results and lessons learned from|selected activities in sub-Saharan Africa|Project title: Support for analysis and research in Africa (SARA)","Special Evaluation","Documents","AOT-C-00-99-00237-00","","1/1/2002 12:00:00 AM","","Disease prevention and control|Malaria|Tuberculosis|Government departments|International organizations|Development strategies|Disaster preparedness|Epidemics|Epidemiology","Africa south of Sahara|Kenya|Botswana","http://pdf.usaid.gov/pdf_docs/PDABU948.pdf","777 KB","000223 - Academy for Educational Development, Inc. (AED)","","004251 - U.S. Dept. of Health and Human Services|008308 - USAID. Bur. for Africa. Ofc. of Sustainable Development","English","application/pdf","","","","Health (General)","Jan 2002","","","","USAID-DHHS [Dept. of Health and Human Services] partnership in health : health & human resources analysis for Africa project (HHRAA), participating agency service agreement (PASA) -- reviews from selected activities in sub-Saharan Africa","","PD-ABU-948","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY1MDgw","Africa Regional","6980483"
"In 1993, USAID launched a multi-project environmental program in Russia as part of an international donor ""first-wave"" effort to bolster political and economic support. This report evaluates the impacts of three of those projects: (1) a project to improve Moscow's drinking water by upgrading selected upstream municipal wastewater treatment facilities and industrial enterprises; (2) a project to create a watershed management plan for communities in the Moscow River Basin, aiming to curb runoff (mainly animal waste) from commercial agricultural operations; and (3) a project to improve environmental conditions in industrial Volgograd by developing a model air quality management program.  All three projects were implemented by the U.S. Environmental Protection Agency (USEPA). The evaluation found strong evidence that the wastewater treatment project had very positive impacts on targeted treatment facilities.  The project also strengthened institutions by using a combination of TA, in-country training, equipment transfer, and U.S. professional study tours.  Watershed development activities were much less successful, with the sole exception of developing an environmental curriculum for schools. Finally, the air quality improvement project did not meet its primary goal of implementing a comprehensive air quality program in Volgograd. The lessons learned are that USAID and its implementers must:  (1) assess carefully the potential for upgrading environmental technology in cash-strapped plants; (2) focus more on planning for replicability from the start; (3) use appropriate (not necessarily state-of-the-art) technology; (4) consider the balance between short-term results and long-term sustainability; and (5) collect baseline and other appropriate data to assess project effectiveness.  (Author abstract, modified)","Related working paper: PN-ACM-154","Special Evaluation","Documents","","","2/1/2002 12:00:00 AM","","Environmental management|Pollution control|Waste treatment|Wastewater|Urban areas|Public services|Industrial facilities|Watersheds|River basins|Water pollution|Runoff|Development projects|Commercial farming|Air pollution|Impact assessment|Case studies","Russia","http://pdf.usaid.gov/pdf_docs/PNACP069.pdf","1,069 KB","008058 - USAID. Bur. for Policy and Program Coordination. Center for Development Information and Evaluation (CDIE)","","","English","application/pdf","CDIE series|Utilities|PPCeval","","","Pollution","Feb 2002","","","CDIE impact evaluation","Reducing urban and industrial pollution in Russia","","PN-ACP-069","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY1MTM2","Russia","1100003"
"Evaluates the Democracy Network (DemNet) program, designed to strengthen Macedonia's NGO sector, for the period 4/95-2/02. The report centers on DemNet ""process"" activities, aimed at helping make new and existing NGOs capable of producing significant development impacts. Participating new NGOs credit DemNet with making their development possible by teaching them what NGOs can do if properly developed and operated.  Most of those visited, however, admitted that they needed more training.  Previously registered NGOs reported a similar experience.  Most operated as loosely organized groups concerned with particular issues such as drug abuse.  DemNet took them to the next level, helping them to organize and operate more efficiently as NGOs. At the sectoral level, Macedonian NGOs are disconnected from each other, each going its own way and rarely sharing with each other or learning from each other.  DemNet attempted to eliminate this isolation through its training, TA, and outreach activities.  DemNet established a network of local trainers (e.g., LEAP/CAP training; NGO development training/TA) that presumably are available to assist new NGOs.  It also produced and disseminated brochures designed to provide a guidebook. Despite these efforts, many of the NGOs visited lamented the sector's enduring competitiveness. The sector as a whole suffers from the general judgment that NGOs are ineffectual in alleviating or eliminating important social problems. Persuasive evaluative documentation of NGO achievement of significant development results will go a long way towards recasting the sector's image.  It will demonstrate that DemNet enabled potent NGO action that indisputably produced important and measurable impacts. Several factors influenced DemNet's implementation. The Kosovar refugee (1999) crisis fueled inter-ethnic tensions, and was followed closely by armed conflict between Albanian rebels and the Macedonian Army/Government.  The negative image of NGOs has had a detrimental impact on support for NGOs.  The proliferation of NGOs in the last decade, many of which were viewed as purely opportunistic, magnified the problem.  Several stakeholders also noted that the weak NGO image has inflamed the traditional NGO/government distrust.  Other problems include the absence of a tradition of volunteerism in Macedonia, the limitations placed on private sector participation by a frail economy, and the hostile fiscal and legal environment facing most NGOs. Lessons learned are that:  (1) sustainability training is ineffective; (2) application of DemNet training is weak; (3) NGOs need to produce and communicate impacts to improve their image; (4) NGO evaluation is inadequate and their communication skills underdeveloped; (5) NGO performance milestones are effective; (6) the media helps amplify affirmative NGO visibility; (7) site visits verify grantee qualifications; (8) coalitions enhance NGO success potential; and (9) collaboration is possible and works. DemNet, the Local Government Reform Project (LGRP), the Community Self Help Initiative (CSHI), and the PRISMA project are all working in communities, seeking to improve conditions in their particular sectors of activity, such as NGO strengthening, small infrastructure development and quality of life improvement, local government capacity, and economic development.  Together, these projects address a wide range of important community development issues in Macedonia and, together, possess a very promising synergy for systematic change in these communities. DemNet NGOs have been prepared to achieve significant impacts, and the time is propitious for them to reach that goal.  The LEAP and CAP projects, for example, need to demonstrate that their partnering arrangements have actually produced their intended, ultimate results. Convincing proof and communication of these results will in due course establish the Macedonia NGO sector as a vital force for essential social change.","Task order no. 805|Evaluation indefinite quantity contract (Evaluation IQC)","Special Evaluation","Documents","AEP-I-00-00-00023-00","","2/1/2002 12:00:00 AM","","Democratization|Indigenous private voluntary organizations|Institution building|Community development|Human capacity development|Networks|Volunteers|Constraints|Public relations|Economic aspects|Political aspects","Macedonia","http://pdf.usaid.gov/pdf_docs/PDABW119.pdf","2,401 KB","000436 - Development Associates, Inc.","","010257 - USAID. Bur. for Europe and Eurasia|009560 - USAID. Mission to Macedonia","English","application/pdf","Interim evaluation","","Cook, Thomas J.|Popovski, Mihajlo","Democratization","Feb 2002","","","","Evaluation of the Macedonia DemNet [democracy network] program : task order no. 805","","PD-ABW-119","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY1MzIz","Macedonia",""
"Reports on results of the Girls' Education Activity (GEA), designed to increase girls' access to primary education, in Guatemala, Morocco, and Peru (1996-2001). Proyecto Global in Guatemala had mixed success in implementing the interventions designed to achieve the intermediate results established by USAID.  The project: mobilized regional and local leadership to promote girls' education; broadened local community participation to promote girls' education: and strengthened teacher performance to improve girls' primary school education.  However, little progress on the national level was made beyond the Basic Education Strengthening (BEST) project in strengthening the performance of public and private sector institutions in promoting girls' education; improving knowledge to implement policies, strategies, and programs for girls' education; and mobilizing national leadership to promote girls' education.  As a result, sustained improvements in enrollment and completion rates for girls in primary school are at best localized in El Quiche.  Guatemala's average enrollment and completion rates have not substantially improved since the beginning of Proyecto Global.  This should not be surprising, however, since the Government of Guatemala asked Proyecto Global to limit its geographic focus, and the project focused efforts in El Quiche. The GEA in Morocco successfully implemented interventions to achieve the intermediate results established by USAID.  It has strengthened the performance of public and private sector institutions in promoting girls' education; improved knowledge to implement policies, strategies, and programs for girls' education; mobilized national, regional, and local leadership to promote girls' education; and broadened local community participation to promote girls' education.  USAID Morocco data tracking indicates substantial increases in girls' enrollment in the particular areas where the Mission is providing resources either through GEA or its Morocco Education for Girls (MEG) project.  This data set is too limited to extrapolate to trends in the general population, although the Ministry of Education claims that considerable progress is being made.  It is too early to conclude whether girls' completion rates for primary school have improved substantially.  If GEA/Morocco is judged on the success of its agendas at the national and local levels, substantial progress has been made in each of the six project tasks (policy legitimization, building constituencies, realigning and mobilizing resources, designing and modifying organizational structures, mobilizing action, and monitoring systemic change). There is no question that project activities have raised awareness about the problems associated with rural girls' education nationally and within the local pilot areas. GEA has directly affected the level and tenor of national discourse on girls' education and has been instrumental in consolidating a varied constituency that is actively engaged in advancing reform at all levels. In Peru, the New Horizons project has successfully implemented interventions to achieve the intermediate results established by USAID. It has strengthened the performance of public and private sector institutions in promoting girls' education; improved knowledge to implement policies, strategies, and programs for girls' education; mobilized national, regional, and local leadership to promote girls' education; broadened local community participation to promote girls' education; and strengthened teacher performance to improve girls' primary school education.  It is too early to say whether these efforts have led to sustained improvements in enrollment and completion rates for girls in primary school.  Preliminary information indicates that Peru has made measurable progress in these national goals since the beginning of the project.  New Horizons/Peru has made substantial progress in each of the six project tasks.  It has raised awareness about the problems associated with rural girls' education and has raised the issue to the national level. The most important factors determining the success of a girls' education project are the people and organizations that take leadership roles.  In addition, three key factors affect GEA's ability to influence systematic change on behalf of girls' education:  (1) tailoring the approach to the political context; (2) linking change at the local, regional, and national Levels; and (3) maximizing in-country control over project activities. See PN-ACP-188 for lessons learned.","Lessons learned report: PN-ACP-188","Special Evaluation","Documents","HNE-C-00-96-90046-00|HNR-C-00-96-00046-00","","3/1/2002 12:00:00 AM","","Women in development|Access to education|Girls|Institution building|Educational policy|Policy reform|Impact assessment|Consensus building|Community participation|Educational facilities|Public sector|Private sector|Human capacity development|Political leadership|Teacher education|Enrollment|School graduates|Managing for results|Quality of education","Guatemala|Morocco|Peru","http://pdf.usaid.gov/pdf_docs/PDACT189.pdf","2,163 KB","000251 - American Institutes for Research (AIR)","","010959 - USAID. Bur. for Economic Growth, Agriculture and Trade. Ofc. of Women in Development","English","application/pdf","Quality of education","","Brush, Lorelei|Heyman, Cory|et al.","Girls' education","Mar 2002","","","","Description and analysis of the USAID girls' education activity in Guatemala, Morocco, and Peru","","PD-ACT-189","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY1NDIz","Ctr for Women in Development",""
"Evaluates project to develop a sustainable program to provide orthopedic assistance to Mozambicans disabled by civil war and its lingering after effects -- landmines.  Evaluation covers the period 1998-4/02. In 1998, as a result of the establishment of a new unit within the Ministry of Health (MISAU), the Section of Physical Medicine and Rehabilitation (SMFR), and recommendations made in a USAID-sponsored evaluation, the program's focus shifted from direct involvement in the management and administration of rehabilitation services to providing TA, long-term training opportunities and support to indigenous disability advocacy groups, with Prosthetic and Orthotic Worldwide Education and Relief (POWER) serving as contractor.  The orthoprosthetic rehabilitation centers became the direct responsibility of the provincial and district hospitals in which they were located, and oversight was to be provided by the SMFR. Since that reorganization, the quality and quantity of prosthetic and orthotic services has rapidly declined. Production in the four main orthopedic centers has dropped by more than 51%.  In the year 2000, only 309 prostheses were produced in the country, despite a conservative production capacity of more than 1,000 devices per year.  The quality of fittings and workmanship has taken an equally startling turn for the worse.  Orthopedic services are the responsibility of the MISAU, but they are given lower priority within the ministry compared with other important preventative and curative health issues.  As a result, little interest is paid to these programs and scant resources are allocated for them. The challenges facing the rehabilitation sector in Mozambique are not unique.  Although the MISAU must continue to play a crucial role in this health issue and service, orthoprosthetics will never be cost-effective enough for the government to absorb within its current health budget and manage within its existing structure.  A number of alternative management, administrative, and financial structures have been attempted in other African countries.  Several of the more successful options are based on public-private sector partnerships and oversight boards outside of the day-to-day management structure.  It is incumbent upon the MISAU to conduct a controlled pilot program to examine the potential benefits of these models.","Project title: Displaced Children and Orphans Fund (DCOF) and|Patrick J. Leahy War Victims Fund (LWVF)","Special Evaluation","Documents","HRN-C-00-98-00037-00","","4/1/2002 12:00:00 AM","","Humanitarian assistance|Rehabilitative medicine|War victims|Prostheses|Government departments|Host country cooperation|Resource allocation|Cost control","Mozambique","http://pdf.usaid.gov/pdf_docs/PDABW164.pdf","424 KB","010305 - Displaced Children and Orphans Fund (DCOF) and Patrick J. Leahy War Victims Fund (WVF)","","010965 - USAID. Bur. for Global Health. Ofc. of Health and Nutrition","English","application/pdf","Interim evaluation|Orthopedics|Development priorities","","Ubiedo, Joe|Horvath, Rob","Medical equipment","Apr 2002","","","","Orthoprosthetic technical assessment of POWER's [Prosthetic and Orthotic Worldwide Education and Relief's] program in Mozambique","","PD-ABW-164","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY1NDM1","Mozambique","9363102"
