Abstract,Ancillary_Data,Bibliographic_Type,ContentType,Contract_Grant_Number,Credit,Date_Resource_Created,Description,Descriptors_Topical,Descriptors_Geographic,File,File_Size,Inst_Author,Inst_Publisher,Inst_Sponsor,Language,Mime_Type,New_Thesaurus_Terms,Notes,Personal_Author,Primary_Subject,Publication_Date_Freeform,Related_Doc_Links,Report_Number,Series_Title,Title,Title_Translated,Unique_ID,URI,USAID_Geography,USAID_Project_Number
"Evaluates the American International Health Alliance's (AIHA) partnerships program, designed to transfer U.S. medical knowledge and skills to partner institutions in the New Independent States (NIS) and Central and Eastern European (CEE) countries.  Evaluation covers the period 6/92-2/97 against a PACD of 12/98. Under AIHA's partnership model, which uses volunteers rather than paid consultants, an institution-to-institution focus, and a participatory, collaborative approach, the program has achieved important impact both overseas and in the United States.  Activities have been of two types: cross-cutting initiatives set up by AIHA in the areas of nursing, emergency medical services (EMS), neonatal resuscitation, infection control, and diabetes; and, at USAID's suggestion, initiatives in women's health, breast cancer, health management education, and healthy communities. The program has achieved impressive results in the NIS, moving with agility and effectiveness from clinical practice to broader management issues.  The program has stimulated the flow of medical knowledge and technology to NIS and CEE partner hospitals, led to knew ways of thinking on the part of doctors and nurses, and shown remarkable success in leveraging outside resources. Generally speaking, the NIS partnerships have been more successful than the CEE partnerships, perhaps because the CEE countries are more diverse in language, history, health systems, and challenges, and thus lend themselves less to treatment as a single region.  Hospital partnerships have been more successful than university partnerships. As expected, AIHA has had limited impact on health status, policy reform, and health systems. Unexpectedly, however, there is some evidence that replicability of programs (diabetes, EMS, neonatal resuscitation) has occurred in nonpartner hospitals, and that scaling up to broader systems (infection control, the training and role of nurses) has also occurred.  The potential for program sustainability would be even greater if AIHA were to help partners search for other funding sources and to build outside alliances.  The cross-cutting information technology initiative is critical to sustainability and should remain part of the program's strategy.  The initiative has disseminated lessons learned to all partners and provided important testing of curricula, protocols, and programs. There is a strong case for moving into another noncompetitive cooperative agreement (CA) with AIHA, although any such CA should be limited in scope to hospital-based activities, which are AIHA's predominant strength; broader-level efforts at systemic impact and sector reform should be pursued by a competitively procured, task order-type contract.  In addition, while AIHA has benefitted from strong entrepreneurial leadership, the organization should now work to evolve a more transparent and participatory management style that delegates more program and budget responsibility to regional offices and partnerships. Finally, USAID must resolve the issues that stem from the tensions between the R4 strategic objectives structure, with its firm requirement for field office accountability in the use of resources, and the new guidance on cooperative agreements, with its sharp limits on Washington and field project officers' involvement in the implementation of the CA with AIHA. (Author abstract, modified)","Task order 97-0010","Special Evaluation","Documents","DHR-0037-C-00-5067-00","","1/1/1998 12:00:00 AM","","Technology transfer|Health delivery|Institution building|Hospitals|Partnerships|Development strategies|Institutional linkages|Medical education|Health facilities","Central and Eastern Europe|New Independent States","http://pdf.usaid.gov/pdf_docs/PDABQ112.pdf","2,148 KB","008485 - Basic Health Management International (BHM)","","009520 - USAID. Bur. for Europe and the New Independent States. Ofc. of Democracy, Governance and Social Reform","English","application/pdf","Interim evaluation|Diabetes|Infection control|Neonatal resuscitation|Former Soviet Union","","Butler, Malcolm|Buzzard, Shirley|et al.","","30 Jan 1998","","","","Evaluation of the American International Health Alliance (AIHA) partnerships program","","PD-ABQ-112","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjQ4ODM1","Europe Regional","1800037"
"","Document is edited from discussions with and handwritten notes of|the author, who died before committing his report to writing","Special Evaluation","Documents","EPE-A-00-95-00098-00","","1/1/1998 12:00:00 AM","","Animal husbandry|Livestock|Agricultural product marketing","Macedonia","http://pdf.usaid.gov/pdf_docs/PDABQ181.pdf","901 KB","005829 - Land O'Lakes, Inc.","","009286 - USAID. Bur. for Europe and the New Independent States. Ofc. of Enterprise Development|009560 - USAID. Mission to Macedonia","English","application/pdf","Interim evaluation","","Campbell, S. Gordon","Livestock","16 Jan 1998","","","","Macedonia : marketing and livestock improvement project -- USAID CA# EPE-A-00-95-00098-00 : mid-term evaluation report","","PD-ABQ-181","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjQ5MDMx","Macedonia","1800024"
"","","Special Evaluation","Documents","","","1/1/1998 12:00:00 AM","","Food security|Food supply|Agricultural production|Seeds|Potatoes|Beans|Private voluntary organizations","Burundi","http://pdf.usaid.gov/pdf_docs/PDABQ183.pdf","456 KB","007337 - Catholic Relief Services (CRS)","","007747 - USAID. Bur. for Humanitarian Response. Ofc. of Foreign Disaster Assistance (OFDA)|008522 - USAID. Mission to Burundi","English","application/pdf","Interim evaluation","","","Food supply","31 Jan 1998","","","","Increased food security in four provinces : Catholic Relief Services Burundi program -- OFDA grant # AOT-G-00-97-00-358-00 : mid-term evaluation","","PD-ABQ-183","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjQ5MDMz","Burundi",""
"Since 1956, the United States has provided Ethiopia, mainly via the Title II program, with $773 million in food aid.  The sum accounts for 28% of all food aid provided the East African country over the past 40 years. This report evaluates the economic, social, and political effects of this aid and identifies its principal beneficiaries. The impact of U.S. food aid to Ethiopia has varied over time.  During the reign of Emperor Haile Selassie (1930-74), assistance was small, adding on average less than 2% to the country's foreign exchange earnings.  But in late 1973, in response to a famine, USAID increased its allocation of Title II resources from $1 million to nearly $14 million.  Though thousands of lives were saved, at least 100,000 were lost.  Food insecurity eroded the stability of Haile Selassie's regime, but it would be difficult to prove that U.S. food aid had any significant political impact.  Whether earlier introduction of famine relief could have helped save or prolong the regime is uncertain. During Mengistu's Marxist-style regime (1974-91), food aid added somewhat more to the country's foreign exchange resources, but because of the political and economic environment did not contribute to sustainable economic growth.  The period 1982-92 saw famine and civil strife, and though malnutrition rates worsened, food aid most likely deflected even higher rates.  During 1984-86, U.S. food aid, provided mostly through PVOs, probably saved millions of lives.  However, for this period, food aid was used by both the government and (through a cross-border program) the various rebel factions, perhaps helping to prolong the conflict. For the period 1992-95, after the Mengistu regime was replaced by a transitional government, U.S. food aid accounted for 34% of the country's foreign exchange resources.  The transfer of agricultural commodities in that period helped jump-start Ethiopia's productive sectors, released money to support other development activities, and helped build the emergency food security reserve and the country's capacity to respond to a 1994 drought.  Food assistance also provided a basis for policy dialogue on economic liberalization and food security. Over the past 4 years, the nutritional status of children participating in food-assisted maternal and child health (MCH) programs has improved; food rations may have contributed indirectly to this change by motivating mothers to attend MCH activities (counseling, growth monitoring, and nutrition and health education). Lessons learned from the evaluation are that food aid can:  (1) help a country stabilize its economy and provide a basis for policy dialogue on issues critical to food security; (2) unintentionally prolong civil conflict, even when the sole purpose of the aid is humanitarian relief; (3) indirectly contribute to improving children's nutritional status by stimulating mothers' participation in MCH programs; and (4) be an important vehicle for supporting growth strategies and public resource transfers that differentially benefit lower-income groups.  (Author abstract, modified)","","Special Evaluation","Documents","","","1/1/1998 12:00:00 AM","","Food aid programs|Impact assessment|USAID|Food for Peace Title II","Ethiopia","http://pdf.usaid.gov/pdf_docs/PNABY241.pdf","128 KB","008058 - USAID. Bur. for Policy and Program Coordination. Center for Development Information and Evaluation (CDIE)|008543 - USAID. Mission to Ethiopia","","","English","application/pdf","CDIE series|PPCeval","","Benoliel, Sharon|Taddesse, Samuel|et al.","Food aid programs","1998","","","CDIE impact evaluation, no. 1998-01","Food aid in Ethiopia","","PN-ABY-241","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjQ5MTc1","Ethiopia",""
"","","Final Evaluation Report","Documents","","","2/1/1998 12:00:00 AM","","Private voluntary organizations|Institution building|Grants|Development programs","Nicaragua|Angola|Latin America","http://pdf.usaid.gov/pdf_docs/PDABQ324.pdf","3,806 KB","001407 - Save the Children (U.S.)","","007746 - USAID. Bur. for Humanitarian Response. Ofc. of Private and Voluntary Cooperation (PVC)","English","application/pdf","Final evaluation","","Sullivan, Frank|Taren, Douglas|Cederstrom, Thoric","Food aid programs","13 Feb 1998","","","","Save the Children Federation : United States Agency for International Development institutional support grant, FAO-0801-1-00-3038-00 [i.e. FAO-0801-A-00-3038-00] -- final report : external evaluation","","PD-ABQ-324","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjQ5Mzk5","Private and Development Cooperation","9380801"
"PACR of a project (1987-97) to improve the coverage, quality, and sustainability of family planning/maternal child health (FP/MCH) services in Bangladesh. Through its support to the NGO, social marketing, and government sectors, this project contributed significantly to national efforts to reduce fertility and infant and child mortality.  Overall, the project achieved or exceeded its goals and objectives and has been a major factor in the expansion of population and health services in Bangladesh. The project was organized under four components, some of which contained multiple subprojects.  Component I focused on the public sector and aimed to improve and decentralize FP service delivery, strengthen logistics, and support the National Expanded Program of Immunization (EPI).  Component II funded the Social Marketing Company (SMC) in promoting and distributing contraceptives and oral rehydration salts.  Component III supported the delivery of FP/MCH services through NGOs.  Under this component, there were cooperative agreements with three international and two national organizations.  Component IV strengthened support services, including commodities logistics, research, evaluation, monitoring, and information, education, and communication (IEC). Overall, the project significantly contributed to increased use of FP, immunizations, and oral rehydration therapy to treat childhood diarrhea.  It also led to significant improvements in contraceptive logistics, the functioning of the SMC, and the viability of local NGOs. Finally, operations research helped to achieve important policy reforms. Lessons learned are as follows:  (1) Significant improvements in contraceptive prevalence and immunization coverage can be achieved with strong national commitment, adequate logistics, strong IEC, and attention to quality of services.  (2) Quality is essential if health and FP programs are to be effective.  Service quality can be improved by establishing and maintaining clear service standards, providing performance-based training based on these standards, maintaining regular and meaningful contact with customers, providing needed equipment and supplies, and improving all aspects of counseling.  (3) IEC is a critical element for successful health and FP programs.  IEC can effectively be used to keep all segments of society well informed about essential, affordable, preventive, and curative interventions.  IEC can also be used to target clients at particular risk, for example, newlywed women or commercial sex workers.  In addition, IEC programs can play a key role in making qualified providers of essential services easily identifiable and accessible to the general public.  (4) Provided they have access to training, supplies, and supervision, local NGOs can be a very effective mechanism for delivering quality FP/MCH services to communities.  (5) Improvements in contraceptive supply management are critical to the performance of FP service delivery programs.  (6) Given the social transformation underway in Bangladesh, the national program should encourage women to seek FP and health services at health centers rather than wait for services to be delivered by fieldworkers at their doorstep.  In addition, women can receive a much wider range of essential services at clinics than are available from community-based distribution programs.  (7) Couples are willing to pay for accessible, high-quality, and affordable services.  (8) Greater utilization of health facilities is possible when an integrated package of essential services is made easily accessible to clients.  (9) Flexibility is needed in allocating resources among project activities.  In addition, program documentation and approval processes should be streamlined. (Author abstract, modified)","","Final Evaluation Report","Documents","","","1/1/1998 12:00:00 AM","","Family planning services|Maternal child health care|Public health care|Indigenous private voluntary organizations|Social marketing|Commercial retail sale of contraceptives|Health care administration|Logistics|Contraceptive agents and devices|Decentralization|Immunizations|Oral rehydration therapy|Operations research|IEC|Domestic government programs","Bangladesh","http://pdf.usaid.gov/pdf_docs/PDABQ353.pdf","762 KB","008511 - USAID. Mission to Bangladesh","","","English","application/pdf","Final evaluation","","","Family planning services","1998","","","","USAID/Bangladesh : project assistance completion report (PACR) -- family planning and health services","","PD-ABQ-353","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjQ5NDM1","Bangladesh","3880071"
"","","Final Evaluation Report","Documents","","","3/1/1998 12:00:00 AM","","Private voluntary organizations|Institution building|Food for Peace Title II|Food security","","http://pdf.usaid.gov/pdf_docs/PDABQ419.pdf","1,540 KB","","","","English","application/pdf","Final evaluation","","Riley, Barry","Food aid programs","26 Mar 1998","","","","ACDI/VOCA institutional support grant final evaluation","","PD-ABQ-419","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjQ5NTc2","Private and Development Cooperation","9380801"
"Final evaluation of a project implemented by CARE (1/95-1/98) to improve community water supply and sanitation in the four northernmost districts of Inhambane Province, Mozambique. The project, which changed from an emergency to a development program in the course of its life, worked with over 100 communities, constructed 84 new boreholes, and rehabilitated 14 wells, with a focus on areas exhibiting a high demand for water.  The main technology adopted was boreholes with handpumps. In addition, research was carried out on rainwater harvesting, which, while more expensive, is also more flexible, since it employs only locally available materials and skills. Designed to implement the National Water Policy (PNA), the project adopted key PNA principles, including community-level pump maintenance, increasing cost recovery, and greater involvement of the private sector. The project acted as a catalyst to community development, building on local priorities, problem-solving, and management capacities. Development of private sector interest in selling pump spare parts took time to develop and was undermined periodically by government distribution of free parts.  However, vendors are now investing in unsubsidized spare parts, and are forming trading relationships with communities, including some credit facilities.  They have also formed links with manufacturers that allow return and replacement of substandard items. Establishment of decentralized maintenance systems includes building the capacity of community leadership in fund-raising and management of a communal facility, and of a specific maintenance and repair group (GMR) for each handpump (Afridev).  Unlike most other areas of the country, these groups have, as a result of their training, adopted the principle of preventive action and most replace basic parts routinely.  This preventive measure has helped keep pumps in operation near or beyond the recommended limit of operation in terms of depth, the number of users, and water quality; 40% of pumps have never broken down, and 97% were working at the time of the 1997 inventory. Hygiene education included the training of local health promoters (1 for 10 houses), emphasis on role models, and the use of self- monitoring of efforts to improve environmental health. In terms of impact, water use has increased 60-80% per head, with the level of increase linked to provision of health education.  Other positive changes include safe disposal of feces and greater use of soap, which may also improve socioeconomic conditions.  Longer-term and in some cases more continuous monitoring is necessary to identify genuine trends, however, especially regarding the incidence of diarrhea, in which very little change is apparent. The project built up a very good base of information, but could still develop more the linkages that would allow the wider use of the material and help in providing longer-term support for communities as the project phases out, in transferring responsibilities to other organizations, and in reducing the costs of future efforts. Costs per capita and particularly per community were quite high, even for a program with a high hygiene education component.  This is partly due to the project's frequently experimental nature and its keenness to modify and improve impact as it progressed.  Now that methodologies are mostly well established, however, future inputs should be subjected to careful cost-benefit analysis.  (Author abstract, modified)","","Final Evaluation Report","Documents","656-0217-G-00-3029-00","","1/1/1998 12:00:00 AM","","Water supply|Sanitation|Water supply structures|Health education|Environmental health|Hygiene|Private enterprises|Community development|Community participation|Private voluntary organizations|Rural areas","Mozambique","http://pdf.usaid.gov/pdf_docs/PDABQ440.pdf","3,523 KB","008344 - CARE International in Mozambique","","008580 - USAID. Mission to Mozambique","English","application/pdf","Final evaluation","","Afonso, J. Felicidade|Nhassango, Belmiro M.|Sutton, Sally","Sanitation engineering","Jan 1998","","","","Community water and sanitation project, Inhambane Province[, Mozambique] : final project evaluation","","PD-ABQ-440","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjQ5NjM5","Mozambique","6560217"
"","","Special Evaluation","Documents","EPE-0014-I-01-5061-00|EPE-I-01-00062-00","","2/1/1998 12:00:00 AM","","Business support services|Business enterprises","Macedonia","http://pdf.usaid.gov/pdf_docs/PDABQ461.pdf","30 KB","009560 - USAID. Mission to Macedonia","","","English","application/pdf","Service centers","","Godden, John W.","Business enterprises","Feb 1998","","","","Assessment of the Macedonia Business Resource Center (MBRC) program -- Skopje, Macedonia","","PD-ABQ-461","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjQ5NzUx","Macedonia","1800014"
"As part of a global program to eradicate polio, Bangladesh held its first round of National Immunization Days (NIDs) on March 16 and April 16, 1995.  During and immediately following the first NID, a process evaluation was conducted to identify operational difficulties and potential solutions.  In order to improve the implementation of future NIDs in Bangladesh, the process evaluation placed emphasis on the NID activities for the urban poor, who are considered to be a hard-to-reach and underserved population.  A total of 100 vaccination sites were observed during the NID and 286 exit interviews were conducted in these sites.  Immediately following the NID, focus group discussions were held in four city corporations and four district municipalities with local managers, caretakers who participated in the NID, and caretakers who did not participate in the NID. Recommendations include (1) improving site organization; (2) developing a strategy to recruit more participants; (3) advising parents to bring their children back for routine immunization; (4) publicizing results of NIDs; and (5) obtaining help from government organizations, political parties, national and local leaders, the media, businesses, teachers, medical personnel, and social organizations.  (Author abstract)","Earlier ed.: PD-ABM-204|Project title: Basic support for institutionalizing child survival|(BASICS)","Special Evaluation","Documents","HRN-6006-C-00-3031-00|HRN-C-00-93-00031-00","","1/1/1998 12:00:00 AM","","Child survival activities|Disease prevention and control|Poliomyelitis|Domestic government programs|Health care administration|Health delivery|Problem solving|Beneficiary targeting|Urban populations|Poor|Interviews|Group discussion","Bangladesh","http://pdf.usaid.gov/pdf_docs/PNACC454.pdf","193 KB","008155 - Partnership for Child Health Care, Inc.","","008291 - USAID. Bur. for Global Programs, Field Support, and Research. Center for Population, Health and Nutrition. Ofc. of Health and Nutrition|008511 - USAID. Mission to Bangladesh","English","application/pdf","Exit interviews","","Bhattacharyya, Karabi|Khanam, Rokeya","Immunization","1998","","","BASICS technical report","Process evaluation of the first national immunization day in Bangladesh","","PN-ACC-454","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjQ5ODE3","Bangladesh","9366006"
