Abstract,Ancillary_Data,Bibliographic_Type,ContentType,Contract_Grant_Number,Credit,Date_Resource_Created,Description,Descriptors_Topical,Descriptors_Geographic,File,File_Size,Inst_Author,Inst_Publisher,Inst_Sponsor,Language,Mime_Type,New_Thesaurus_Terms,Notes,Personal_Author,Primary_Subject,Publication_Date_Freeform,Related_Doc_Links,Report_Number,Series_Title,Title,Title_Translated,Unique_ID,URI,USAID_Geography,USAID_Project_Number
"Presents Mission's final report (9/77-6/83) on a project to enable the Cooperative Housing Foundation (CHF) to help the Self-Help Housing Agency (SHHA) of the Town Council in Gaborone, Botswana, implement a Housing Guaranty project for the poor in Gaborone's Broadhurst area. The project was extremely successful.  Six amendments expanded CHF services to include assistance to SHHA's in Selebe-Phikwe and Francistown and to the Government of Botswana's (GOB) Ministry of Local Government and Lands (MLGL).  Aided by direct CHF advisors and by training and TA provided by the MLGL, the three SHHA's have developed into permanent organizations, fully able to implement and manage shelter programs.  Further, the CHF advisor to the MLGL drafted a white paper which formed the basis for what later became the GOB's official housing policy - one of the first such policies in Africa.  Both the GOB policy and the work of the SHHA's are considered models of shelter assistance by African professionals. On the other hand, the project did not succeed in phasing out the need for expatriate TA in Botswana's housing sector.  The GOB and the World Bank have extended CHF assistance to Selebe-Phikwe and Francistown (through 8/83 and 12/84, respectively) in order to support Bank housing projects in those towns, and have also extended the contract of the MLGL advisor (through 12/84) in order to ensure program continuity. The OPG mechanism proved appropriate and flexible to the developing housing sector situation; in particular, beginning and amending the OPG by writing letters approving proposals and budgets prepared by CHF was far simpler than having A.I.D. prepare project documents.  On the other hand, A.I.D.'s interests in Botswana would have been better served if AID/W had given USAID/B authority to approve OPG amendments and, in particular, to extend the CHF contract.","","Final Evaluation Report","Documents","","","1/1/1984 12:00:00 AM","","Low cost housing|Community self help|Housing planning|Housing policy|Institution building|Technical assistance|Limited data","Botswana","http://pdf.usaid.gov/pdf_docs/PDAAN983.pdf","220 KB","000506 - Foundation for Cooperative Housing","","008516 - USAID. Mission to Botswana","English","application/pdf","Final EOPS","","","","[1984]","","","","Project completion report : self-help housing development","","PD-AAN-983","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTgxNjEz","Botswana","6330092|633HG01"
"Employee Stock Ownership Plans (ESOP's) represent a potential A.I.D. strategy for strengthening the private sector by extending capital ownership to economically disenfranchised groups.  Such plans can supplement employee benefits and improve workers' income and retirement security, while providing companies with capital formation, access to new credit sources, tax advantages, and gains in productivity. This study examines two ESOP programs in each of three developing countries - Costa Rica, Thailand, and Zimbabwe - and two, for comparison, in the United States.  Also provided are discussions of the theoretical framework behind ESOP's and of different types of plans. All the companies studied were large and financially successful, but their success could not definitely be linked to the presence of ESOP's. All but one were enthusiastic about their ESOP's - the exception being a Zimbabwean company which borrowed money to purchase shares which later declined drastically in price.  As none of the developing countries provided tax benefits or other incentives to encourage ESOP's, all the plans were instituted at some cost to the company or to stockholders. Three companies contributed post-tax earnings to purchase newly issued stock for employees; two provided an interest-free loan to a trust for that purpose.  Thus the funds flowed back into the company so the main financial cost was the dilution of the value of existing shares. Employees' gains varied considerably:  some employees obtained substantial income or retirement security, while others had not yet received any financial benefits.  One company gave the employees' trust a controlling interest in the firm and others gave employees increased involvement in personnel management issues.  Generally, national and company-specific factors affected the plans' success, precluding generalizations as to their impact. In conclusion, the authors recommend an experimental A.I.D. program to promote ESOP's and evaluate their impact.  The possible elements of such a program are described. Appendices provide detailed information on the factors behind the adoption of ESOP's and their national- and company-level impacts. A 53-item bibliography (1958-82) is included.","","Special Evaluation","Documents","PDC-1406-I-04-1089-00","","1/1/1984 12:00:00 AM","","Ownership|Personnel management|Economic development|Private enterprises","Costa Rica|Thailand|Zimbabwe","http://pdf.usaid.gov/pdf_docs/PNAAL033.pdf","4,741 KB","006727 - Development Alternatives, Inc. (DAI)","","000156 - USAID. Bur. for Program and Policy Coordination. Ofc. of Evaluation","English","application/pdf","CDIE series|PPCeval","","Goldmark, Susan G.|Roth, Alan D.|et al.","International trade","Jan 1984","","","AID evaluation special study, no. 19","Capitalizing workers : the impact of employee stock ownership plans in selected developing countries","","PN-AAL-033","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTgxNjI3","",""
"Findings from impact evaluations of 12 A.I.D. education projects are herein reviewed and summarized.  The projects (four each in Asia and Latin America, two each in Africa and the Near East) included such activities as establishing institutions and institutional processes, curriculum reform, distance teaching, vocational and nonformal adult education, teacher training, and building/equipping educational facilities. The following lessons were drawn:  (1) Since the lasting effects of an education project are only apparent over time, A.I.D. should be prepared to make long-term commitments.  (2) A.I.D. efforts have significantly helped to increase and equalize access to education.  (3) A.I.D. training of professionals and support of educational institutions have been successful, especially when supported by career advancement and salary incentives.  (4) Careful prefeasibility studies and serious collaborative planning are essential to projects that introduce new teaching methods and curricula in remote areas.  (5) To ensure continuity, A.I.D. must not only introduce cost-effective reforms, but also determine how recurrent costs are apportioned, whether the costs are reasonable, and what will motivate continued payment of maintenance expenses.  (6) A project must fit into the wider economic context, respond to work force needs, and advance economic growth.  (7) Project success depends on good rapport among host country officials, institutions, and key A.I.D. personnel, and on careful consideration during the design phase of host country policy and of institutional, socioeconomic, and cultural constraints. Future research needs are to:  undertake a more comprehensive study of A.I.D.'s education interventions and a more representative study of A.I.D.'s nonformal education efforts; balance the need to expand access to education with the need to maintain its quality; determine whether the generally poor results of job-oriented education projects are representative; and assess the indirect impact of A.I.D. projects on established institutions and programs. Appended are data sheets for the 12 projects and proceedings of a 2/82 A.I.D. conference on the above findings.","","Special Evaluation","Documents","","","1/1/1984 12:00:00 AM","","Education|Educational planning|Educational reform|Nonformal education|Vocational training|Development project design|Teacher training|Institution building|Adult education","","http://pdf.usaid.gov/pdf_docs/PNAAL034.pdf","3,911 KB","","","003433 - USAID. Bur. for Program and Policy Coordination. Center for Development Information and Evaluation (CDIE)","English","application/pdf","Impact evaluation|Ex post evaluation|Indepth evaluation|Multi country evaluation|Sector level evaluation|CDIE series|PPCeval","","Warren, Marion K.","Education (General)","Jan 1984","","","AID program evaluation report, no. 12","AID and education : a sector report on lessons learned","","PN-AAL-034","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTgxNjI4","",""
"","Order of technical direction no. 157","Special Evaluation","Documents","AID/DSPE-C-0080","","2/1/1984 12:00:00 AM","","Water supply engineering|Rural areas|Private voluntary organizations|Development programs","Kenya","http://pdf.usaid.gov/pdf_docs/PNAAP504.pdf","1,920 KB","000333 - Camp Dresser and McKee, Inc. (CDM)","","000186 - USAID. Bur. for Science and Technology. Ofc. of Health","English","application/pdf","","","Donaldson, David","Natural resources management","Feb 1984","","","WASH field report, no. 106","Evaluation of the care water supply program in Kenya","","PN-AAP-504","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTgxNjU2","Kenya","9311176"
"Evaluates project to mitigate the production impact of coffee rust fungus in Honduras by providing small farmers with credit and technical advice.  Special evaluation covers the period 6/81-12/83 and is based on document review, site visits, and interviews with USAID/H, Honduran Coffee Institute (IHCAFE), and bank personnel, and with farmers and extension agents. Although implementation was seriously delayed during the first year due to a change in higher administration, a drop in revenue from coffee exports (causing a severe cut in IHCAFE's operating budget), and a 5/82 stoppage in A.I.D. funding, very satisfactory progress is now being made.  IHCAFE is improving its effectiveness in coordinating extension, credit, and nursery activities and the project has already reached some 1,600 small farmers, who are using project credit to establish seedling nurseries and to renovate their coffee fields in line with the recommendations of IHCAFE extension agents.  Increased farmer productivity is virtually guaranteed.  (A delay in late 1983 in getting improved seed for some nurseries is not expected to cause any serious problems.) The extension service is making definite progress in developing techniques (e.g., group training, demonstration plots) for working with small farmers, but its ability to reach more farmers has been limited due to a cutback in field staff and a heavy workload in supervising farmer loans.  Also, there is a large degree of variability in individual agents' capabilities. Improved inservice training, better farmer training aids, increased supervisory support for agents, and more field personnel are among this component's key needs. The three banks (BANDESA, BANHCAFE, and Banco de Occidente) participating in the credit program are administering credit adequately, but reimbursement through the Ministry of Finance and the Central Bank is not working well, causing occasional shortages of funds to be onlent to farmers.  Interest repayments are at the 90-95% level; principal repayments have not yet come due. The major lessons learned in this project are:  (1) the importance of providing profitable technical recommendations to accompany credit; and (2) the difficulty of channeling funds through the entire financial system. Numerous recommendations are included.","Work order no. 23","Special Evaluation","Documents","PDC-1406-I-23-1142-00","","2/1/1984 12:00:00 AM","","Coffee trees|Rust (fungi)|Crop disease control|Agricultural extension|Agricultural credit|Beneficiary count|Beneficiary interviews","Honduras","http://pdf.usaid.gov/pdf_docs/PDAAP046.pdf","1,434 KB","000480 - Experience, Inc.","","008555 - USAID. Mission to Honduras","English","application/pdf","Evaluation team|Indepth evaluation|Onsite evaluation","","Tinnermeier, Ronald L.|Oberbeck, Charles D.","","15 Feb 1984","","","","First evaluation of small farmer coffee improvement project","","PD-AAP-046","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTgxNzIw","Honduras","5220176"
"The impact of A.I.D.'s P.L. 480, Title I program in Jamaica during the period 1975-80 is evaluated. Despite increases in P.L. 480 and other direct and indirect forms of A.I.D. assistance, Jamaica's economy continued to decline during the period:  the Gross Domestic Product fell 14%; unemployment rose 5% to 27%; and production remained overly dependent on imports with no increased export capacity.  P.L. 480 food aid, which averaged $10 million annually (1977-80), at best alleviated the symptoms of economic crisis - while at the same time increasing the country's foreign debt. Positively, P.L. 480 aid did not increase food imports (although it may have affected their composition), because post-1975 Jamaican policies stimulated domestic food production and helped reduce food imports by 54%; this indicates the importance of host country food import policies in determining potential disincentive effects of food aid.  Self-help measures had little if any effect on Jamaican development, although agreement on counterpart allocations stimulated line ministries to meet their implementation responsibilities to avoid forfeiting future P.L. 480 funds.  Reports on self-help measures should be given importance in designing and implementing Title I programs. While generally consonant with P.L. 480 objectives, the program did not directly promote the key objectives of economic reform and structural adjustment; nor are these sufficiently ensured by agreements with the International Monetary Fund, agreements which USAID/J should scrutinize carefully.  Further, the program's foreign policy and balance of payments justifications clashed and ultimately overcame market development objectives, although this was perhaps inevitable given the economic situation. Recommendations are that:  school feeding be either phased out or supplied by counterpart funds and local commodity purchases; efforts be made to ensure that all parties participate in determining self-help measures and local currency uses; and Title I impacts be evaluated on the basis of economic indicators and policy concerns rather than such elements as institutional change, technology transfer, and small farmer benefits.","","Special Evaluation","Documents","","","2/1/1984 12:00:00 AM","","Food for Peace|Food aid programs|Food supply|Imports|Community self help|Balance of payments|Food for Peace Title I","Jamaica","http://pdf.usaid.gov/pdf_docs/PNAAL035.pdf","5,442 KB","000156 - USAID. Bur. for Program and Policy Coordination. Ofc. of Evaluation","","","English","application/pdf","Impact evaluation|Ex post evaluation|Evaluation team|Indepth evaluation|CDIE series|PPCeval","","Sidman, Barry|Crosswell, Michael|et al.","Food aid programs","Feb 1984","","","AID project impact evaluation report, no. 51","Jamaica : the impact and effectiveness of the PL-480 Title I program","","PN-AAL-035","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTgxNzYw","Jamaica","532PL01"
"Evaluates marketing and credit components of an American Institute for Free Labor Development (AIFLD) project to increase the incomes of members of democratic farm unions in Costa Rica's Rio Frio, San Isidro, and Tucurrique zones.  Special evaluation is based upon document review, site visits, and interviews with project and non-project personnel. Too many committees and too few implementors have delayed the recruiting of local staff for both components.  Decisionmaking could be simplified if FEDETAICO, the agricultural federation that will run the program when AIFLD departs, assumed a clear executive role under oversight of the Confederation of National Workers (CNT). Also, the program savors somewhat of a paternalistic, top-down approach. Some target areas still function on a subsistence-level economy due either to the lack of support services or to the exorbitant fees charged for them by local grocers (pulperos) who also act as middlemen. Provision of production credit (from the national banking system), consumer goods credit, a savings mobilization plan, and competing services would help break the monopoly of the pulperos and bring these areas to a market economy.  A pilot program of this kind is recommended in San Isidro's El Aquila and Los Santos areas. The assembly center concept should be implemented in the production areas and not on a regional basis, and honest local middlemen and truckers should be integrated into the distribution program to resolve farm-to-assembly-center transport problems; program vehicles should be used to haul commodities. In the San Isidro Valley, a direct distribution program would cut costs by bypassing middlemen.  Beans, corn, and some vegetables and fruits are economically promising and dialogue should be initiated with CNP buying stations to provide transportation, drying, and grading that complement CNP's purchase policy.  As for Rio Frio, the planned road to Guapiles will make possible a new tuber program relying on the Hortifruti buying station at Guapiles and will lower transport costs to San Jose, making platano and pina attractive for local markets and paving the way for Rio Frio to become Costa Rica's next boom area.","","Special Evaluation","Documents","","","1/1/1984 12:00:00 AM","","Agricultural cooperatives|Agricultural credit|Agricultural product marketing|Subsistence farming|Beneficiary interviews","Costa Rica","http://pdf.usaid.gov/pdf_docs/PDAAP145.pdf","2,873 KB","000260 - American Institute for Free Labor Development","","003052 - USAID. Bur. for Latin America and the Caribbean. Ofc. of Development Planning and Programs","English","application/pdf","Indepth evaluation|Onsite evaluation","","Karczynski, Henry J.","","23 Jan 1984","","","","Field survey of credit and marketing components of AIFLD OPG farm union strengthening and rural development project","","PD-AAP-145","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTgyMDk0","Latin American Regional","5980101"
"Evaluates project to strengthen the capacity of the Government of Seychelles (GOS) to conduct applied food crop research and to extend the results to small farmers.  Special evaluation covers the period 7/81-2/84 and is based on document review, site visits, and interviews with project personnel. Project success has been limited.  Although delayed two years, a diagnostic soils and plant laboratory (with staff offices and a small library) has been established and equipped; over 50 plant diseases have been identified and appropriate controls determined, hundreds of soil and fertilizer trials have been run, and some vegetable varieties have been tested and introduced. Initially delayed 18 months, 121 person-months of generally high-quality TA has since been provided, including intensive (if sporadic) on-the-job training in laboratory techniques for GOS technicians and research staff.  Also, many project-sponsored participants presented papers at the 1983 African Horticultural Symposium (attended by 17 nations) held in Mahe, Seychelles. However, the project has been hampered by an unrealistic time frame and inadequate GOS support due primarily to a GOS shift in sector priorities away from emphasis on extension/research to state/parastatal agricultural enterprises.  The GOS has failed to provide a strong extension infrastructure or sufficient, qualified, permanent extension and research counterpart personnel (there are currently no research staff working full-time and only two extension workers; the chief of research is overburdened with administrative tasks), or to request Peace Corps participation since the initial volunteers left in 1982.  Lack of counterpart trainees also has restricted the planned training program: only about nine months of a planned 21 months of overseas (including U.S.) training has been provided.  As a result, the project has failed to establish a self-sufficient research program, and although there have been indications of farmer adoption of some project-recommended practices, there has been no measurable increase in farmer income or production. Key recommendations are to institutionalize the research program and for the GOS to establish an extension division and hire more qualified extension and research personnel.","Attached to PD-AAP-147","Final Evaluation Report","Documents","AFR-0001-C-00-1032-00","","3/1/1984 12:00:00 AM","","Institution building|Agricultural extension|Research centers|Agricultural research","Seychelles","","","008601 - USAID. Mission to Seychelles","","","English","","Indepth evaluation|Onsite evaluation|Peace Corps","","Harris, Tim A.|Faught, William H.","Food crops","Mar 1984","","","","Seychelles : food crops research; evaluation and completion report","","XD-AAP-147-A","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTgyMTIx","Seychelles","6620002"
"During the past three decades Korea has sharply increased its agricultural productivity through an intricate mixture of public and private initiative, but always with government playing the leading role. The contributions of six A.I.D. agricultural services projects to Korean agricultural development are assessed in this impact evaluation. A.I.D. assistance, the authors suggest, was appropriate and, in some cases, critical in increasing land and labor productivity. A.I.D. helped in the construction of new fertilizer plants and grain storage facilities and, while it is not possible to pinpoint specific policy changes directly attributable to A.I.D. technical assistance, the continuing dialogue on projects and policies and the extent of A.I.D. involvement (including participant training, which may have been A.I.D.'s most enduring contribution) evidently had a positive overall influence.  Major policy reforms and their timing, however, were products solely of the Korean government's perception of political and economic needs.  A.I.D. assistance to the National Agricultural Cooperative Federation (NACF) - a critical element in rural growth - increased government control over rural areas, but at the time the NACF was the only mechanism available to deliver agricultural services. Lessons emerging from the Korean experience include the importance of land reform as the bedrock of agricultural development, the difficulty of fostering mechanization without careful attention to labor absorption, the importance of sequencing agricultural interventions (beginning with research and training), and the recognition that policy reform is more likely to come through a cumulative process of dialogue than directly from technical assistance.  Subsidies (a key component in Korea's rural strategy) may be more effective in promoting agricultural development than are parastatal institutions. Korea, because of its particular administrative structure, and because it first stimulated industrial rather than agricultural development, is unlikely to be a model for other nations. Included are a 35-item bibliography (1971-83) and 9 appendices providing detailed data on Korean agricultural development.","","Special Evaluation","Documents","","","3/1/1984 12:00:00 AM","","Agricultural development|Agricultural production|Agricultural policy|Government policy|Development programs|Technical assistance","Korea R","http://pdf.usaid.gov/pdf_docs/PNAAL036.pdf","3,545 KB","","","000156 - USAID. Bur. for Program and Policy Coordination. Ofc. of Evaluation","English","application/pdf","Impact evaluation|Ex post evaluation|Indepth evaluation|Evaluation team|Onsite evaluation|CDIE series|PPCeval","","Steinberg, David I.|Ban, Sung H.|et al.","Agricultural economics","Mar 1984","","","AID project impact evaluation report, no. 52","Korean agricultural services : the invisible hand in the iron glove; market and nonmarket forces in Korean rural development","","PN-AAL-036","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTgyMjQ1","Korea, Republic of","4890675|489H027|489H026|4890685|4890688|4890594"
"The history of the user-financed primary health care (PHC) project in Sine Saloum, Senegal, teaches valuable lessons for community development programs, according to this case study. The key lesson is that a thorough, critical evaluation, when taken seriously and acted upon by a donor and the host government, can save a failing program.  A 1980 evaluation of the Sine Saloum project concluded that, despite the training and deployment of a large number of village health workers, the project's future was being jeopardized by several critical problems:  village health huts were not viable financially; supervision and support for village health workers were inadequate; and the drug supply and transportation system were unable to cope with new demands.  As a result of changes made since that evaluaton, the Sine Saloum project has turned around and community-level health services are largely self-financing. Major steps taken have included: standardization of user payments; village contributions to salaries of village health workers, construction and maintenance of village health huts, and building of drug stocks; vigorous training of community members in management and financial responsibilities; improvements in community health worker selection, training, and supervision; and more intensive project management by USAID/S. Problems remain, however.  Because the services provided are mainly those that clients demand and are willing to pay for, the program is still almost exclusively curative, and efforts to introduce preventive measures such as improved health and hygiene behaviors, oral rehydration therapy, and family planning information and services have met with little success.  Still lacking are the educational, outreach, and surveillance activities needed to effect long-term attitudinal and behavioral changes, as well as the indepth analysis and experimentation needed to determine if other PHC services can be user-financed and yet stay attractively priced.  Finally, recent research suggests that client satisfaction and participation could be significantly improved. Appendices include tables and a 27-item bibliography (l969-83).","","Special Evaluation","Documents","","","4/1/1984 12:00:00 AM","","Health delivery|Primary health care|Community health care|Rural areas|Health finance|User fees","Senegal","http://pdf.usaid.gov/pdf_docs/PNAAL037.pdf","1,325 KB","000156 - USAID. Bur. for Program and Policy Coordination. Ofc. of Evaluation","","","English","application/pdf","Indepth evaluation|Pre evaluation data|CDIE series|PPCeval","","Bloom, Abby L.","Health delivery","Apr 1984","","","AID evaluation special study, no. 20","Prospects for primary health care in Africa : another look at the Sine Saloum rural health project in Senegal","","PN-AAL-037","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTgyMzM2","Senegal","6850210"
