Abstract,Ancillary_Data,Bibliographic_Type,ContentType,Contract_Grant_Number,Credit,Date_Resource_Created,Description,Descriptors_Topical,Descriptors_Geographic,File,File_Size,Inst_Author,Inst_Publisher,Inst_Sponsor,Language,Mime_Type,New_Thesaurus_Terms,Notes,Personal_Author,Primary_Subject,Publication_Date_Freeform,Related_Doc_Links,Report_Number,Series_Title,Title,Title_Translated,Unique_ID,URI,USAID_Geography,USAID_Project_Number
"","Project title: Agricultural development program -- Albania","Special Evaluation","Documents","PER-A-00-99-00001-00","","1/1/2004 12:00:00 AM","","Economic impact|Impact assessment|Business associations|Agribusiness|International trade|Agricultural markets|Balance of trade|Employment|Agricultural development|Cost benefit analysis","Albania","http://pdf.usaid.gov/pdf_docs/PNACW572.pdf","479 KB","000630 - International Fertilizer Development Center (IFDC)","","011325 - USAID. Bur. for Economic Growth, Agriculture and trade. Ofc of Agriculture","English","application/pdf","","","Baanante, Carlos A.","Agricultural markets","Jan 2004","","","","Economic impact assessment of the USAID/IFDC assistance to Albanian Agricultural Trade Associations (AAATA)","","PN-ACW-572","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=Mjc1MTEx","Albania","1800046"
"","Project title: PVO child survival grants program (CSGP)","Final Evaluation Report","Documents","FAO-A-00-99-00012-00","","2/1/2004 12:00:00 AM","","Child survival activities|Maternal child health care|Birth intervals|Respiratory diseases|Diarrhea|Care of the newborn","Honduras","http://pdf.usaid.gov/pdf_docs/PDABZ419.pdf","95 KB","","","","English","application/pdf","Care of the newborn","","Anderson, Frank|Rosales, Alfonso|et al.","Child survival","Feb 2004","","","","Final evaluation : community-based child survival, Intibuca, Honduras","","PD-ABZ-419","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=Mjc1MjM5","Honduras","9380500"
"","Project title: PVO child survival grants program (CSGP)","Final Evaluation Report","Documents","FAO-A-00-00-00038-00","","2/1/2004 12:00:00 AM","","Child survival activities|Birth intervals|Child nutrition|Immunizations","Cambodia","http://pdf.usaid.gov/pdf_docs/PDABZ453.pdf","279 KB","010937 - World Vision Cambodia","","010926 - USAID. Bur. for Democracy, Conflict and Humanitarian Assistance. Ofc. of Private and Voluntary Cooperation (PVC)|011222 - USAID. Bur. for Global Health. Ofc. of Health, Infectious Diseases, and Nutrition","English","application/pdf","Final evaluation","","Debay, Marc","Child survival","[29 Feb 2004]","","","","Final evaluation of the Kean Svay child survival (follow-on) project","","PD-ABZ-453","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=Mjc1NDE5","Cambodia","9380500"
"","Women's legal rights initiative (WLR)|Women in development indefinite quantity contract (IQC)","Special Evaluation","Documents","GEW-I-00-02-00016-00","","2/1/2004 12:00:00 AM","","Women|Development program evaluation|Civil and political rights|Economic, social, and cultural rights|Women's rights|Best practices|Legal rights","Albania|Guatemala|Southern Africa","http://pdf.usaid.gov/pdf_docs/PNACW794.pdf","138 KB","011492 - Development & Training Services, Inc. (dTS)|009456 - Chemonics International Inc.","","010959 - USAID. Bur. for Economic Growth, Agriculture and Trade. Ofc. of Women in Development","English","application/pdf","Legal rights","","Winship, Joan D.","Women in development","2 Feb 2004","","","","Annual report on best practices, lessons learned and success stories : illustrations from Albania, Guatemala and Southern Africa","","PN-ACW-794","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=Mjc1NDM3","Ctr for Women in Development",""
"","Evaluation indefinite quantity contract (Evaluation IQC)","Final Evaluation Report","Documents","AEP-I-825-00-00022-00|AEP-I-00-00-00022-00","","2/1/2004 12:00:00 AM","","Agricultural development|Agricultural markets|Private sector|Agricultural inputs|Agricultural product marketing","Kenya","http://pdf.usaid.gov/pdf_docs/PDABZ503.pdf","675 KB","011982 - Checchi/Louis Berger Joint Venture","","008565 - USAID. Mission to Kenya","English","application/pdf","Final evaluation","","Neubert, David|Gilbert, Elon","Agricultural development","Feb 2004","","","","End of term evaluation of the agricultural development support (ADSP) project","","PD-ABZ-503","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=Mjc1NTI2","Kenya",""
"","Project title: Training in reproductive health III (TRH III)","Special Evaluation","Documents","HRN-A-98-00041-00","","3/1/2004 12:00:00 AM","","Health delivery|Maternal health care|Abortion|Sector evaluation|Performance measurement|Health professional education|Supply|Health service utilization|Post abortion care (PAC)","Malawi","http://pdf.usaid.gov/pdf_docs/PNACX174.pdf","2,918 KB","007525 - JHPIEGO Corp.","","011262 - USAID. Bur. for Global Health. Ofc. of Population and Reproductive Health","English","application/pdf","Post abortion care (PAC)|Health service utilization","","Schenck-Yglesias, Catherine","Health delivery","Mar 2004","","","JHPIEGO technical report 25 (JHP-25)","Evaluation of postabortion care service delivery in Malawi","","PN-ACX-174","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=Mjc1OTUy","Malawi","936306901"
"","Project title: Matching grants to PVOs","Special Evaluation","Documents","FAO-A-00-00-00012-00","","3/1/2004 12:00:00 AM","","Agroforestry|Biological diversity|Forestry|Natural resource conservation|Natural resource management|Forest products","Mexico|Ghana","http://pdf.usaid.gov/pdf_docs/PDABZ650.pdf","6,005 KB","008676 - Conservation International","","010926 - USAID. Bur. for Democracy, Conflict and Humanitarian Assistance. Ofc. of Private and Voluntary Cooperation (PVC)","English","application/pdf","","","Zettelmeyer, Winfried|Maddison, Alan","Biological diversity and ecology","29 Mar 2004","","","","Agroforestry-based enterprise development as a biodiversity conservation intervention in Mexico and Ghana : final evaluation report","","PD-ABZ-650","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=Mjc2MDI4","","9380158"
"","Project title: Reproductive health operations research (FRONTIERS)","Special Evaluation","Documents","HRN-A-00-98-00012-00","","4/1/2004 12:00:00 AM","","Reproductive health|Health education|Public health care|Health delivery","Bolivia","http://pdf.usaid.gov/pdf_docs/PDABZ681.pdf","422 KB","005227 - Population Council. Latin America and Caribbean Regional Ofc.|011374 - Centro de Informacion y Desarrollo de la Mujer (CIDEM)","","011262 - USAID. Bur. for Global Health. Ofc. of Population and Reproductive Health","English","application/pdf","","","Mantilla, Maria Dolores Castro|Antezana, Mariel Loayza","Reproductive health care","Apr 2004","","66","","Evaluation of community education interventions in sexual and reproductive health services in urban-marginal areas of La Paz, Bolivia","","PD-ABZ-681","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=Mjc2MjU1","Bolivia","936308601"
"","Document appears to serve as final contractor report for the project","Final Evaluation Report","Documents","442-A-00-00-00105-00","","3/1/2004 12:00:00 AM","","Governance|Government reform|Political corruption|Public services|Procurement|Political participation|Civil society|Human rights|Institution building|Networks|Monitoring|Political ethics|Oversight responsibility|Needs assessments","Thailand","http://pdf.usaid.gov/pdf_docs/PDABZ766.pdf","211 KB","010716 - The Asia Foundation (TAF), Thailand","","008523 - USAID. Mission to Cambodia","English","application/pdf","Final evaluation|Conflicts of interest","","Klein, James R.","Governance","Mar 2004","","","","Final evaluation report on the AERA [accelerating economic recovery in Asia] promoting good governance project","","PD-ABZ-766","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=Mjc2NTIy","Thailand",""
"","Task order no. 845|Evaluation indefinite quantity contract (Evaluation IQC)","Special Evaluation","Documents","AEP-I-00-00-00023-00","","2/1/2004 12:00:00 AM","","Standard of living|Living conditions|Post conflict societies|Development program evaluation|Social services|Civil society|Political participation","Kosovo","http://pdf.usaid.gov/pdf_docs/PNACX629.pdf","298 KB","000436 - Development Associates, Inc.","","010393 - USAID. Mission to Kosovo|011229 - USAID. Bur. for Policy and Program Coordination. Ofc. of Development Evaluation and Information (PPC/DEI)","English","application/pdf","PPCeval","","Watsson, Charlotte B.|Kobayashi, Richard|et al.","Quality of life","24 Feb 2004","","","","Kosovo evaluation of SO 3.1 : restored normalcy in living standards and opportunity","","PN-ACX-629","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=Mjc2NTk2","Kosovo (Serbia)",""
